E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;3.31874999e-07;-3.31875043e-07;6.63041588e-07
-4.00000000e-03;3.31875043e-07;-3.31875059e-07;6.62429384e-07
-8.00000000e-03;3.31875059e-07;-3.31875081e-07;6.65077739e-07
-1.20000000e-02;3.31875080e-07;-3.31875110e-07;6.62338500e-07
-1.60000000e-02;3.31875109e-07;-3.31875150e-07;6.61526003e-07
-2.00000000e-02;3.31875149e-07;-3.31875205e-07;6.64569050e-07
-2.40000000e-02;3.31875204e-07;-3.31875280e-07;6.64802048e-07
-2.80000000e-02;3.31875278e-07;-3.31875382e-07;6.62564273e-07
-3.20000000e-02;3.31875379e-07;-3.31875522e-07;6.63044239e-07
-3.60000000e-02;3.31875518e-07;-3.31875713e-07;6.67225890e-07
-4.00000000e-02;3.31875707e-07;-3.31875973e-07;6.62479883e-07
-4.40000000e-02;3.31875966e-07;-3.31876329e-07;6.63120058e-07
-4.80000000e-02;3.31876319e-07;-3.31876814e-07;6.65226578e-07
-5.20000000e-02;3.31876800e-07;-3.31877477e-07;6.64686035e-07
-5.60000000e-02;3.31877458e-07;-3.31878382e-07;6.65770594e-07
-6.00000000e-02;3.31878356e-07;-3.31879617e-07;6.64780168e-07
-6.40000000e-02;3.31879582e-07;-3.31881304e-07;6.63251287e-07
-6.80000000e-02;3.31881256e-07;-3.31883607e-07;6.63912912e-07
-7.20000000e-02;3.31883541e-07;-3.31886751e-07;6.63082632e-07
-7.60000000e-02;3.31886661e-07;-3.31891043e-07;6.64784901e-07
-8.00000000e-02;3.31890921e-07;-3.31896904e-07;6.64423271e-07
-8.40000000e-02;3.31896738e-07;-3.31904906e-07;6.62263146e-07
-8.80000000e-02;3.31904679e-07;-3.31915831e-07;6.64426170e-07
-9.20000000e-02;3.31915520e-07;-3.31930746e-07;6.62822094e-07
-9.60000000e-02;3.31930322e-07;-3.31951110e-07;6.63971670e-07
-1.00000000e-01;3.31950531e-07;-3.31978911e-07;6.63453166e-07
-1.04000000e-01;3.31978120e-07;-3.32016864e-07;6.64348799e-07
