E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.32750000e-05;-1.32750017e-05;2.65484214e-05
-4.00000000e-03;1.32750017e-05;-1.32750024e-05;2.65459348e-05
-8.00000000e-03;1.32750023e-05;-1.32750032e-05;2.65512122e-05
-1.20000000e-02;1.32750032e-05;-1.32750044e-05;2.65514962e-05
-1.60000000e-02;1.32750044e-05;-1.32750060e-05;2.65493910e-05
-2.00000000e-02;1.32750060e-05;-1.32750082e-05;2.65507488e-05
-2.40000000e-02;1.32750081e-05;-1.32750112e-05;2.65534401e-05
-2.80000000e-02;1.32750111e-05;-1.32750153e-05;2.65521480e-05
-3.20000000e-02;1.32750152e-05;-1.32750209e-05;2.65514513e-05
-3.60000000e-02;1.32750207e-05;-1.32750285e-05;2.65514247e-05
-4.00000000e-02;1.32750283e-05;-1.32750389e-05;2.65483401e-05
-4.40000000e-02;1.32750386e-05;-1.32750531e-05;2.65520198e-05
-4.80000000e-02;1.32750527e-05;-1.32750726e-05;2.65468284e-05
-5.20000000e-02;1.32750720e-05;-1.32750991e-05;2.65495069e-05
-5.60000000e-02;1.32750983e-05;-1.32751353e-05;2.65493590e-05
-6.00000000e-02;1.32751342e-05;-1.32751847e-05;2.65468619e-05
-6.40000000e-02;1.32751833e-05;-1.32752521e-05;2.65502147e-05
-6.80000000e-02;1.32752502e-05;-1.32753443e-05;2.65538814e-05
-7.20000000e-02;1.32753416e-05;-1.32754700e-05;2.65501314e-05
-7.60000000e-02;1.32754665e-05;-1.32756417e-05;2.65486930e-05
-8.00000000e-02;1.32756369e-05;-1.32758762e-05;2.65513309e-05
-8.40000000e-02;1.32758695e-05;-1.32761962e-05;2.65537735e-05
-8.80000000e-02;1.32761871e-05;-1.32766328e-05;2.65532063e-05
-9.20000000e-02;1.32766204e-05;-1.32772283e-05;2.65538434e-05
-9.60000000e-02;1.32772113e-05;-1.32780390e-05;2.65524319e-05
-1.00000000e-01;1.32780158e-05;-1.32791394e-05;2.65581572e-05
-1.04000000e-01;1.32791077e-05;-1.32806261e-05;2.65607053e-05
-1.08000000e-01;1.32805829e-05;-1.32826214e-05;2.65658869e-05
-1.12000000e-01;1.32825625e-05;-1.32852759e-05;2.65708165e-05
-1.16000000e-01;1.32851955e-05;-1.32887704e-05;2.65753430e-05
-1.20000000e-01;1.32886605e-05;-1.32933168e-05;2.65786925e-05
