E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;3.08340392e-06;-3.03349397e-06;6.11949978e-06
-4.00000000e-03;3.07857330e-06;-3.03451360e-06;6.11503369e-06
-8.00000000e-03;3.07430938e-06;-3.03541349e-06;6.10572132e-06
-1.20000000e-02;3.07054570e-06;-3.03620781e-06;6.10663437e-06
-1.60000000e-02;3.06722345e-06;-3.03690903e-06;6.10243476e-06
-2.00000000e-02;3.06429079e-06;-3.03752814e-06;6.09882952e-06
-2.40000000e-02;3.06170204e-06;-3.03807486e-06;6.09958750e-06
-2.80000000e-02;3.05941689e-06;-3.03855777e-06;6.09443464e-06
-3.20000000e-02;3.05739980e-06;-3.03898447e-06;6.08924730e-06
-3.60000000e-02;3.05561944e-06;-3.03936170e-06;6.09697226e-06
-4.00000000e-02;3.05404820e-06;-3.03969545e-06;6.08795269e-06
-4.40000000e-02;3.05266176e-06;-3.03999111e-06;6.09476409e-06
-4.80000000e-02;3.05143874e-06;-3.04025350e-06;6.09109676e-06
-5.20000000e-02;3.05036034e-06;-3.04048702e-06;6.09713880e-06
-5.60000000e-02;3.04941012e-06;-3.04069574e-06;6.08402480e-06
-6.00000000e-02;3.04857374e-06;-3.04088351e-06;6.09243038e-06
-6.40000000e-02;3.04783879e-06;-3.04105405e-06;6.09663207e-06
-6.80000000e-02;3.04719465e-06;-3.04121112e-06;6.09136252e-06
-7.20000000e-02;3.04663241e-06;-3.04135869e-06;6.08624333e-06
-7.60000000e-02;3.04614484e-06;-3.04150111e-06;6.08011784e-06
-8.00000000e-02;3.04572642e-06;-3.04164341e-06;6.08231083e-06
-8.40000000e-02;3.04537344e-06;-3.04179167e-06;6.08809443e-06
-8.80000000e-02;3.04508425e-06;-3.04195345e-06;6.09009043e-06
-9.20000000e-02;3.04485957e-06;-3.04213845e-06;6.08523682e-06
-9.60000000e-02;3.04470304e-06;-3.04235933e-06;6.08975677e-06
-1.00000000e-01;3.04462196e-06;-3.04263293e-06;6.08935307e-06
-1.04000000e-01;3.04462835e-06;-3.04298177e-06;6.08722056e-06
-1.08000000e-01;3.04474045e-06;-3.04343618e-06;6.08518933e-06
-1.12000000e-01;3.04498474e-06;-3.04403726e-06;6.08771621e-06
-1.16000000e-01;3.04539878e-06;-3.04484076e-06;6.09002769e-06
-1.20000000e-01;3.04603505e-06;-3.04592238e-06;6.09125487e-06
