E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;5.53124998e-07;-5.53125072e-07;1.10769603e-06
-4.00000000e-03;5.53125072e-07;-5.53125098e-07;1.10635248e-06
-8.00000000e-03;5.53125098e-07;-5.53125134e-07;1.10657698e-06
-1.20000000e-02;5.53125133e-07;-5.53125183e-07;1.10738678e-06
-1.60000000e-02;5.53125182e-07;-5.53125250e-07;1.10707468e-06
-2.00000000e-02;5.53125248e-07;-5.53125342e-07;1.10682955e-06
-2.40000000e-02;5.53125339e-07;-5.53125467e-07;1.10587164e-06
-2.80000000e-02;5.53125463e-07;-5.53125637e-07;1.10523223e-06
-3.20000000e-02;5.53125632e-07;-5.53125870e-07;1.10662767e-06
-3.60000000e-02;5.53125863e-07;-5.53126188e-07;1.10574009e-06
-4.00000000e-02;5.53126179e-07;-5.53126622e-07;1.10708004e-06
-4.40000000e-02;5.53126610e-07;-5.53127214e-07;1.10646508e-06
-4.80000000e-02;5.53127198e-07;-5.53128023e-07;1.10550993e-06
-5.20000000e-02;5.53128000e-07;-5.53129128e-07;1.10652485e-06
-5.60000000e-02;5.53129097e-07;-5.53130636e-07;1.10696891e-06
-6.00000000e-02;5.53130593e-07;-5.53132695e-07;1.10644081e-06
-6.40000000e-02;5.53132637e-07;-5.53135506e-07;1.10548557e-06
-6.80000000e-02;5.53135426e-07;-5.53139344e-07;1.10653710e-06
-7.20000000e-02;5.53139235e-07;-5.53144585e-07;1.10664082e-06
-7.60000000e-02;5.53144436e-07;-5.53151739e-07;1.10712046e-06
-8.00000000e-02;5.53151536e-07;-5.53161507e-07;1.10703508e-06
-8.40000000e-02;5.53161229e-07;-5.53174844e-07;1.10542782e-06
-8.80000000e-02;5.53174464e-07;-5.53193052e-07;1.10586974e-06
-9.20000000e-02;5.53192534e-07;-5.53217910e-07;1.10701616e-06
-9.60000000e-02;5.53217204e-07;-5.53251849e-07;1.10477137e-06
-1.00000000e-01;5.53250884e-07;-5.53298184e-07;1.10732630e-06
-1.04000000e-01;5.53296867e-07;-5.53361441e-07;1.10581886e-06
-1.08000000e-01;5.53359642e-07;-5.53447796e-07;1.10638566e-06
-1.12000000e-01;5.53445341e-07;-5.53565681e-07;1.10845436e-06
-1.16000000e-01;5.53562328e-07;-5.53726598e-07;1.10722444e-06
-1.20000000e-01;5.53722020e-07;-5.53946238e-07;1.10736638e-06
-1.24000000e-01;5.53939987e-07;-5.54245997e-07;1.10846740e-06
-1.28000000e-01;5.54237463e-07;-5.54655044e-07;1.10879856e-06
-1.32000000e-01;5.54643393e-07;-5.55213113e-07;1.10923060e-06
-1.36000000e-01;5.55197205e-07;-5.55974289e-07;1.11142135e-06
-1.40000000e-01;5.55952571e-07;-5.57012109e-07;1.11510151e-06
-1.44000000e-01;5.56982458e-07;-5.58426403e-07;1.11632849e-06
-1.48000000e-01;5.58385921e-07;-5.60352373e-07;1.11917620e-06
-1.52000000e-01;5.60297107e-07;-5.62972485e-07;1.12352688e-06
-1.56000000e-01;5.62897036e-07;-5.66531559e-07;1.13022639e-06
-1.60000000e-01;5.66428561e-07;-5.71354979e-07;1.13840763e-06
-1.64000000e-01;5.71214378e-07;-5.77868776e-07;1.14822642e-06
-1.68000000e-01;5.77676856e-07;-5.86618539e-07;1.16480245e-06
-1.72000000e-01;5.86356594e-07;-5.98282001e-07;1.18469083e-06
-1.76000000e-01;5.97924525e-07;-6.13668590e-07;1.21330897e-06
-1.80000000e-01;6.13180822e-07;-6.33699224e-07;1.24666897e-06
-1.84000000e-01;6.33033825e-07;-6.59361572e-07;1.29364716e-06
-1.88000000e-01;6.58454118e-07;-6.91639386e-07;1.34893782e-06
-1.92000000e-01;6.90402245e-07;-7.31418302e-07;1.42213346e-06
-1.96000000e-01;7.29732104e-07;-7.79373263e-07;1.50839393e-06
-2.00000000e-01;7.77074243e-07;-8.35843854e-07;1.61204072e-06
-2.04000000e-01;8.32703066e-07;-9.00702944e-07;1.73419133e-06
-2.08000000e-01;8.96389380e-07;-9.73221752e-07;1.86862799e-06
-2.12000000e-01;9.67238123e-07;-1.05193301e-06;2.01903302e-06
-2.16000000e-01;1.04351753e-06;-1.13449840e-06;2.17731395e-06
-2.20000000e-01;1.12250748e-06;-1.21760399e-06;2.34050739e-06
-2.24000000e-01;1.20042871e-06;-1.29694105e-06;2.49764737e-06
-2.28000000e-01;1.27254308e-06;-1.36736802e-06;2.63774632e-06
-2.32000000e-01;1.33351309e-06;-1.42335805e-06;2.75757243e-06
-2.36000000e-01;1.37805548e-06;-1.45977109e-06;2.83721718e-06
-2.40000000e-01;1.40181607e-06;-1.47283388e-06;2.87665775e-06
-2.44000000e-01;1.40225712e-06;-1.46102933e-06;2.86417069e-06
-2.48000000e-01;1.37925806e-06;-1.42552506e-06;2.80573978e-06
-2.52000000e-01;1.33517715e-06;-1.36991976e-06;2.70274436e-06
-2.56000000e-01;1.27432694e-06;-1.29940192e-06;2.57548257e-06
-2.60000000e-01;1.20206891e-06;-1.21968309e-06;2.42181909e-06
-2.64000000e-01;1.12386390e-06;-1.13609926e-06;2.25866282e-06
-2.68000000e-01;1.04455410e-06;-1.05308678e-06;2.09797312e-06
-2.72000000e-01;9.67980940e-07;-9.74012782e-07;1.94329242e-06
-2.76000000e-01;8.96891630e-07;-9.01222103e-07;1.79657142e-06
-2.80000000e-01;8.33023894e-07;-8.36169698e-07;1.67026274e-06
-2.84000000e-01;7.77267675e-07;-7.79567943e-07;1.55654143e-06
-2.88000000e-01;7.29841950e-07;-7.31528407e-07;1.46083932e-06
-2.92000000e-01;6.90460812e-07;-6.91697997e-07;1.38176889e-06
-2.96000000e-01;6.58483301e-07;-6.59390761e-07;1.31708793e-06
-3.00000000e-01;6.33047334e-07;-6.33712735e-07;1.26697940e-06
-3.04000000e-01;6.13186590e-07;-6.13674358e-07;1.22712814e-06
-3.08000000e-01;5.97926779e-07;-5.98284255e-07;1.19725181e-06
-3.12000000e-01;5.86357393e-07;-5.86619337e-07;1.17436785e-06
-3.16000000e-01;5.77677110e-07;-5.77869029e-07;1.15525362e-06
-3.20000000e-01;5.71214450e-07;-5.71355051e-07;1.14364338e-06
-3.24000000e-01;5.66428579e-07;-5.66531577e-07;1.13184541e-06
-3.28000000e-01;5.62897040e-07;-5.62972489e-07;1.12651237e-06
-3.32000000e-01;5.60297108e-07;-5.60352374e-07;1.11959752e-06
-3.36000000e-01;5.58385922e-07;-5.58426403e-07;1.11628246e-06
-3.40000000e-01;5.56982458e-07;-5.57012109e-07;1.11460382e-06
-3.44000000e-01;5.55952571e-07;-5.55974289e-07;1.11122508e-06
-3.48000000e-01;5.55197205e-07;-5.55213113e-07;1.11090641e-06
-3.52000000e-01;5.54643393e-07;-5.54655044e-07;1.10789590e-06
-3.56000000e-01;5.54237463e-07;-5.54245997e-07;1.10780746e-06
-3.60000000e-01;5.53939987e-07;-5.53946238e-07;1.10842112e-06
-3.64000000e-01;5.53722020e-07;-5.53726598e-07;1.10892453e-06
-3.68000000e-01;5.53562328e-07;-5.53565681e-07;1.10601608e-06
-3.72000000e-01;5.53445341e-07;-5.53447796e-07;1.10843921e-06
-3.76000000e-01;5.53359642e-07;-5.53361441e-07;1.10698930e-06
-3.80000000e-01;5.53296867e-07;-5.53298184e-07;1.10880643e-06
-3.84000000e-01;5.53250884e-07;-5.53251849e-07;1.10621922e-06
-3.88000000e-01;5.53217204e-07;-5.53217910e-07;1.10595413e-06
-3.92000000e-01;5.53192534e-07;-5.53193052e-07;1.10671136e-06
-3.96000000e-01;5.53174464e-07;-5.53174844e-07;1.10530934e-06
-4.00000000e-01;5.53161229e-07;-5.53161507e-07;1.10645474e-06
-4.04000000e-01;5.53151536e-07;-5.53151739e-07;1.10625052e-06
-4.08000000e-01;5.53144436e-07;-5.53144585e-07;1.10758489e-06
-4.12000000e-01;5.53139235e-07;-5.53139344e-07;1.10661944e-06
-4.16000000e-01;5.53135426e-07;-5.53135506e-07;1.10506165e-06
-4.20000000e-01;5.53132637e-07;-5.53132695e-07;1.10500041e-06
-4.24000000e-01;5.53130593e-07;-5.53130636e-07;1.10533845e-06
-4.28000000e-01;5.53129097e-07;-5.53129128e-07;1.10426313e-06
-4.32000000e-01;5.53128000e-07;-5.53128023e-07;1.10417629e-06
-4.36000000e-01;5.53127198e-07;-5.53127214e-07;1.10831931e-06
-4.40000000e-01;5.53126610e-07;-5.53126622e-07;1.10545085e-06
-4.44000000e-01;5.53126179e-07;-5.53126188e-07;1.10751431e-06
-4.48000000e-01;5.53125863e-07;-5.53125870e-07;1.10553687e-06
-4.52000000e-01;5.53125632e-07;-5.53125637e-07;1.10586386e-06
-4.56000000e-01;5.53125463e-07;-5.53125467e-07;1.10459296e-06
-4.60000000e-01;5.53125339e-07;-5.53125342e-07;1.10749320e-06
-4.64000000e-01;5.53125248e-07;-5.53125250e-07;1.10587591e-06
-4.68000000e-01;5.53125182e-07;-5.53125183e-07;1.10788932e-06
-4.72000000e-01;5.53125133e-07;-5.53125134e-07;1.10557358e-06
-4.76000000e-01;5.53125098e-07;-5.53125098e-07;1.10751748e-06
-4.80000000e-01;5.53125072e-07;-5.53125072e-07;1.10771585e-06
-4.84000000e-01;5.53125052e-07;-5.53125053e-07;1.10478897e-06
-4.88000000e-01;5.53125038e-07;-5.53125039e-07;1.10670518e-06
-4.92000000e-01;5.53125028e-07;-5.53125028e-07;1.10524895e-06
-4.96000000e-01;5.53125021e-07;-5.53125021e-07;1.10512582e-06
