E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.10625000e-06;-1.10625015e-06;2.21171636e-06
-4.00000000e-03;1.10625015e-06;-1.10625020e-06;2.21223090e-06
-8.00000000e-03;1.10625020e-06;-1.10625027e-06;2.21034566e-06
-1.20000000e-02;1.10625027e-06;-1.10625037e-06;2.21345052e-06
-1.60000000e-02;1.10625037e-06;-1.10625051e-06;2.21452490e-06
-2.00000000e-02;1.10625051e-06;-1.10625070e-06;2.21435840e-06
-2.40000000e-02;1.10625069e-06;-1.10625095e-06;2.21100123e-06
-2.80000000e-02;1.10625094e-06;-1.10625130e-06;2.21249623e-06
-3.20000000e-02;1.10625129e-06;-1.10625177e-06;2.21205314e-06
-3.60000000e-02;1.10625176e-06;-1.10625242e-06;2.21194382e-06
-4.00000000e-02;1.10625240e-06;-1.10625330e-06;2.21289334e-06
-4.40000000e-02;1.10625328e-06;-1.10625451e-06;2.21109738e-06
-4.80000000e-02;1.10625447e-06;-1.10625615e-06;2.21054514e-06
-5.20000000e-02;1.10625611e-06;-1.10625840e-06;2.21145893e-06
-5.60000000e-02;1.10625834e-06;-1.10626147e-06;2.21107749e-06
-6.00000000e-02;1.10626138e-06;-1.10626566e-06;2.21368177e-06
-6.40000000e-02;1.10626554e-06;-1.10627138e-06;2.21244767e-06
-6.80000000e-02;1.10627121e-06;-1.10627919e-06;2.21381873e-06
-7.20000000e-02;1.10627897e-06;-1.10628985e-06;2.21329396e-06
-7.60000000e-02;1.10628955e-06;-1.10630441e-06;2.21192418e-06
-8.00000000e-02;1.10630399e-06;-1.10632428e-06;2.21084220e-06
-8.40000000e-02;1.10632372e-06;-1.10635142e-06;2.21182899e-06
-8.80000000e-02;1.10635065e-06;-1.10638847e-06;2.21407088e-06
-9.20000000e-02;1.10638741e-06;-1.10643905e-06;2.21379693e-06
-9.60000000e-02;1.10643761e-06;-1.10650810e-06;2.21268167e-06
-1.00000000e-01;1.10650614e-06;-1.10660238e-06;2.21397028e-06
-1.04000000e-01;1.10659970e-06;-1.10673109e-06;2.21304718e-06
-1.08000000e-01;1.10672743e-06;-1.10690680e-06;2.21178935e-06
-1.12000000e-01;1.10690180e-06;-1.10714666e-06;2.21677775e-06
-1.16000000e-01;1.10713983e-06;-1.10747407e-06;2.21520061e-06
-1.20000000e-01;1.10746475e-06;-1.10792095e-06;2.21398639e-06
-1.24000000e-01;1.10790823e-06;-1.10853083e-06;2.21367338e-06
-1.28000000e-01;1.10851346e-06;-1.10936303e-06;2.21929274e-06
-1.32000000e-01;1.10933933e-06;-1.11049837e-06;2.22015789e-06
-1.36000000e-01;1.11046600e-06;-1.11204681e-06;2.22349720e-06
-1.40000000e-01;1.11200261e-06;-1.11415779e-06;2.22871080e-06
-1.44000000e-01;1.11409744e-06;-1.11703389e-06;2.23497282e-06
-1.48000000e-01;1.11695150e-06;-1.12094866e-06;2.23793919e-06
-1.52000000e-01;1.12083617e-06;-1.12626878e-06;2.24898634e-06
-1.56000000e-01;1.12611518e-06;-1.13347990e-06;2.25993391e-06
-1.60000000e-01;1.13327017e-06;-1.14321378e-06;2.27439356e-06
-1.64000000e-01;1.14292741e-06;-1.15627188e-06;2.30118326e-06
-1.68000000e-01;1.15588086e-06;-1.17363815e-06;2.32993625e-06
-1.72000000e-01;1.17310422e-06;-1.19647994e-06;2.36969233e-06
-1.76000000e-01;1.19575087e-06;-1.22611919e-06;2.42230939e-06
-1.80000000e-01;1.22512365e-06;-1.26398734e-06;2.48847041e-06
-1.84000000e-01;1.26262787e-06;-1.31155439e-06;2.57714321e-06
-1.88000000e-01;1.30969749e-06;-1.37023888e-06;2.68436426e-06
-1.92000000e-01;1.36769996e-06;-1.44130064e-06;2.81115719e-06
-1.96000000e-01;1.43781835e-06;-1.52571498e-06;2.96328595e-06
-2.00000000e-01;1.52090324e-06;-1.62402134e-06;3.14277087e-06
-2.04000000e-01;1.61727923e-06;-1.73613251e-06;3.35468669e-06
-2.08000000e-01;1.72649088e-06;-1.86108904e-06;3.58652532e-06
-2.12000000e-01;1.84699338e-06;-1.99675503e-06;3.84369579e-06
-2.16000000e-01;1.97582566e-06;-2.13948008e-06;4.11664225e-06
-2.20000000e-01;2.10837259e-06;-2.28377015e-06;4.39171255e-06
-2.24000000e-01;2.23827251e-06;-2.42223751e-06;4.66061462e-06
-2.28000000e-01;2.35773355e-06;-2.54573831e-06;4.90309554e-06
-2.32000000e-01;2.45805744e-06;-2.64425509e-06;5.10143487e-06
-2.36000000e-01;2.53075071e-06;-2.70829312e-06;5.24033878e-06
-2.40000000e-01;2.56884026e-06;-2.73074359e-06;5.29946566e-06
-2.44000000e-01;2.56825149e-06;-2.70863202e-06;5.27905733e-06
-2.48000000e-01;2.52877548e-06;-2.64404765e-06;5.17266351e-06
-2.52000000e-01;2.45422880e-06;-2.54375914e-06;4.99885554e-06
-2.56000000e-01;2.35168077e-06;-2.41760544e-06;4.76968638e-06
