E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.16696822e-06;-1.14702901e-06;2.31350119e-06
-4.00000000e-03;1.16503975e-06;-1.14743557e-06;2.31152085e-06
-8.00000000e-03;1.16333705e-06;-1.14779454e-06;2.30929915e-06
-1.20000000e-02;1.16183377e-06;-1.14811151e-06;2.30798925e-06
-1.60000000e-02;1.16050659e-06;-1.14839140e-06;2.31023695e-06
-2.00000000e-02;1.15933488e-06;-1.14863858e-06;2.30897706e-06
-2.40000000e-02;1.15830045e-06;-1.14885689e-06;2.30546185e-06
-2.80000000e-02;1.15738725e-06;-1.14904976e-06;2.30822565e-06
-3.20000000e-02;1.15658111e-06;-1.14922020e-06;2.30497895e-06
-3.60000000e-02;1.15586954e-06;-1.14937090e-06;2.30708601e-06
-4.00000000e-02;1.15524153e-06;-1.14950426e-06;2.30273066e-06
-4.40000000e-02;1.15468735e-06;-1.14962240e-06;2.30470593e-06
-4.80000000e-02;1.15419849e-06;-1.14972727e-06;2.30076284e-06
-5.20000000e-02;1.15376743e-06;-1.14982063e-06;2.30370692e-06
-5.60000000e-02;1.15338762e-06;-1.14990409e-06;2.30494632e-06
-6.00000000e-02;1.15305332e-06;-1.14997921e-06;2.30289216e-06
-6.40000000e-02;1.15275958e-06;-1.15004748e-06;2.30152870e-06
-6.80000000e-02;1.15250218e-06;-1.15011041e-06;2.30417314e-06
-7.20000000e-02;1.15227756e-06;-1.15016960e-06;2.30407385e-06
-7.60000000e-02;1.15208285e-06;-1.15022681e-06;2.30309261e-06
-8.00000000e-02;1.15191586e-06;-1.15028409e-06;2.30429837e-06
-8.40000000e-02;1.15177514e-06;-1.15034389e-06;2.30212931e-06
-8.80000000e-02;1.15166006e-06;-1.15040930e-06;2.30121434e-06
-9.20000000e-02;1.15157097e-06;-1.15048427e-06;2.30242576e-06
-9.60000000e-02;1.15150941e-06;-1.15057396e-06;2.30255184e-06
-1.00000000e-01;1.15147837e-06;-1.15068523e-06;2.30001611e-06
-1.04000000e-01;1.15148281e-06;-1.15082727e-06;2.30174985e-06
-1.08000000e-01;1.15153020e-06;-1.15101247e-06;2.30105325e-06
-1.12000000e-01;1.15163138e-06;-1.15125761e-06;2.30088561e-06
-1.16000000e-01;1.15180171e-06;-1.15158543e-06;2.30043284e-06
-1.20000000e-01;1.15206265e-06;-1.15202690e-06;2.30244820e-06
-1.24000000e-01;1.15244390e-06;-1.15262412e-06;2.30722156e-06
-1.28000000e-01;1.15298637e-06;-1.15343440e-06;2.30583828e-06
-1.32000000e-01;1.15374616e-06;-1.15453577e-06;2.30535858e-06
-1.36000000e-01;1.15480000e-06;-1.15603433e-06;2.30899438e-06
-1.40000000e-01;1.15625257e-06;-1.15807427e-06;2.31675611e-06
-1.44000000e-01;1.15824642e-06;-1.16085110e-06;2.32028832e-06
-1.48000000e-01;1.16097506e-06;-1.16462891e-06;2.32543034e-06
-1.52000000e-01;1.16470008e-06;-1.16976199e-06;2.33530285e-06
-1.56000000e-01;1.16977259e-06;-1.17672025e-06;2.34577699e-06
-1.60000000e-01;1.17665829e-06;-1.18611608e-06;2.36250582e-06
-1.64000000e-01;1.18596403e-06;-1.19872842e-06;2.38610393e-06
-1.68000000e-01;1.19846132e-06;-1.21551774e-06;2.41520413e-06
-1.72000000e-01;1.21510062e-06;-1.23762553e-06;2.45236940e-06
-1.76000000e-01;1.23700989e-06;-1.26635300e-06;2.50399156e-06
-1.80000000e-01;1.26547201e-06;-1.30311673e-06;2.56808600e-06
-1.84000000e-01;1.30187867e-06;-1.34938184e-06;2.65116214e-06
