E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;5.53124998e-07;-5.53125075e-07;1.10594245e-06
-4.00000000e-03;5.53125075e-07;-5.53125103e-07;1.10759977e-06
-8.00000000e-03;5.53125102e-07;-5.53125140e-07;1.10644307e-06
-1.20000000e-02;5.53125139e-07;-5.53125191e-07;1.10765689e-06
-1.60000000e-02;5.53125190e-07;-5.53125261e-07;1.10641266e-06
-2.00000000e-02;5.53125259e-07;-5.53125357e-07;1.10523200e-06
-2.40000000e-02;5.53125354e-07;-5.53125487e-07;1.10711129e-06
-2.80000000e-02;5.53125484e-07;-5.53125665e-07;1.10561176e-06
-3.20000000e-02;5.53125660e-07;-5.53125908e-07;1.10666526e-06
-3.60000000e-02;5.53125901e-07;-5.53126240e-07;1.10742227e-06
-4.00000000e-02;5.53126231e-07;-5.53126693e-07;1.10698700e-06
-4.40000000e-02;5.53126680e-07;-5.53127312e-07;1.10660250e-06
-4.80000000e-02;5.53127294e-07;-5.53128157e-07;1.10520085e-06
-5.20000000e-02;5.53128133e-07;-5.53129310e-07;1.10621924e-06
-5.60000000e-02;5.53129277e-07;-5.53130884e-07;1.10551579e-06
-6.00000000e-02;5.53130839e-07;-5.53133034e-07;1.10760487e-06
-6.40000000e-02;5.53132973e-07;-5.53135968e-07;1.10683439e-06
-6.80000000e-02;5.53135885e-07;-5.53139975e-07;1.10713682e-06
-7.20000000e-02;5.53139862e-07;-5.53145446e-07;1.10739290e-06
-7.60000000e-02;5.53145291e-07;-5.53152916e-07;1.10672457e-06
-8.00000000e-02;5.53152703e-07;-5.53163113e-07;1.10587731e-06
-8.40000000e-02;5.53162823e-07;-5.53177036e-07;1.10625494e-06
-8.80000000e-02;5.53176641e-07;-5.53196045e-07;1.10628513e-06
-9.20000000e-02;5.53195505e-07;-5.53221998e-07;1.10574312e-06
-9.60000000e-02;5.53221260e-07;-5.53257429e-07;1.10661114e-06
-1.00000000e-01;5.53256421e-07;-5.53305801e-07;1.10574557e-06
-1.04000000e-01;5.53304425e-07;-5.53371837e-07;1.10679742e-06
-1.08000000e-01;5.53369959e-07;-5.53461987e-07;1.10655942e-06
-1.12000000e-01;5.53459423e-07;-5.53585048e-07;1.10703371e-06
-1.16000000e-01;5.53581547e-07;-5.53753025e-07;1.10973132e-06
-1.20000000e-01;5.53748245e-07;-5.53982292e-07;1.10730806e-06
-1.24000000e-01;5.53975765e-07;-5.54295171e-07;1.10914273e-06
-1.28000000e-01;5.54286261e-07;-5.54722087e-07;1.10783881e-06
-1.32000000e-01;5.54709921e-07;-5.55304471e-07;1.11049485e-06
-1.36000000e-01;5.55287858e-07;-5.56098691e-07;1.11224150e-06
-1.40000000e-01;5.56076008e-07;-5.57181344e-07;1.11352326e-06
-1.44000000e-01;5.57150372e-07;-5.58656320e-07;1.11574378e-06
-1.48000000e-01;5.58614027e-07;-5.60664156e-07;1.11980099e-06
-1.52000000e-01;5.60606400e-07;-5.63394180e-07;1.12508840e-06
-1.56000000e-01;5.63315305e-07;-5.67099784e-07;1.13288512e-06
-1.60000000e-01;5.66992056e-07;-5.72116495e-07;1.13793376e-06
-1.64000000e-01;5.71969340e-07;-5.78879228e-07;1.15123228e-06
-1.68000000e-01;5.78678186e-07;-5.87946095e-07;1.16793266e-06
-1.72000000e-01;5.87671377e-07;-5.99998966e-07;1.18845363e-06
-1.76000000e-01;5.99623480e-07;-6.15843364e-07;1.21699982e-06
-1.80000000e-01;6.15330001e-07;-6.36381267e-07;1.25298672e-06
-1.84000000e-01;6.35679180e-07;-6.62560649e-07;1.29835656e-06
-1.88000000e-01;6.61600145e-07;-6.95300950e-07;1.35699254e-06
-1.92000000e-01;6.93986461e-07;-7.35398788e-07;1.42822015e-06
-1.96000000e-01;7.33598922e-07;-7.83420660e-07;1.51636686e-06
-2.00000000e-01;7.80953197e-07;-8.39589466e-07;1.61990557e-06
-2.04000000e-01;8.36196417e-07;-9.03669105e-07;1.74150186e-06
-2.08000000e-01;8.98974147e-07;-9.74848337e-07;1.87473875e-06
-2.12000000e-01;9.68276979e-07;-1.05161411e-06;2.01906293e-06
-2.16000000e-01;1.04229003e-06;-1.13161707e-06;2.17408147e-06
-2.20000000e-01;1.11823963e-06;-1.21163145e-06;2.32990098e-06
-2.24000000e-01;1.19241638e-06;-1.28739481e-06;2.47948192e-06
-2.28000000e-01;1.26017313e-06;-1.35391015e-06;2.61336441e-06
-2.32000000e-01;1.31645028e-06;-1.40583430e-06;2.72156241e-06
-2.36000000e-01;1.35636129e-06;-1.43827599e-06;2.79653143e-06
-2.40000000e-01;1.37602759e-06;-1.44777206e-06;2.82202378e-06
-2.44000000e-01;1.37336406e-06;-1.43314370e-06;2.80474252e-06
-2.48000000e-01;1.34856865e-06;-1.39586128e-06;2.74611211e-06
-2.52000000e-01;1.30411441e-06;-1.33971412e-06;2.64403519e-06
-2.56000000e-01;1.24422220e-06;-1.26990764e-06;2.51386564e-06
-2.60000000e-01;1.17400336e-06;-1.19200922e-06;2.36668396e-06
-2.64000000e-01;1.09860038e-06;-1.11105698e-06;2.20900553e-06
-2.68000000e-01;1.02250705e-06;-1.03115080e-06;2.05344422e-06
-2.72000000e-01;9.49263083e-07;-9.55339848e-07;1.90287010e-06
-2.76000000e-01;8.81380658e-07;-8.85717796e-07;1.76547120e-06
-2.80000000e-01;8.20439542e-07;-8.23571004e-07;1.64537304e-06
-2.84000000e-01;7.67243901e-07;-7.69519802e-07;1.53788316e-06
-2.88000000e-01;7.21984591e-07;-7.23643614e-07;1.44548386e-06
-2.92000000e-01;6.84387347e-07;-6.85598115e-07;1.36948409e-06
-2.96000000e-01;6.53846183e-07;-6.54730288e-07;1.30944592e-06
-3.00000000e-01;6.29544817e-07;-6.30190656e-07;1.26034958e-06
-3.04000000e-01;6.10565371e-07;-6.11037347e-07;1.22167653e-06
-3.08000000e-01;5.95979911e-07;-5.96324967e-07;1.19231053e-06
-3.12000000e-01;5.84919771e-07;-5.85172130e-07;1.16920066e-06
-3.16000000e-01;5.76619839e-07;-5.76804463e-07;1.15332979e-06
-3.20000000e-01;5.70437770e-07;-5.70572876e-07;1.14080944e-06
-3.24000000e-01;5.65859797e-07;-5.65958688e-07;1.13147118e-06
-3.28000000e-01;5.62480706e-07;-5.62553101e-07;1.12405685e-06
-3.32000000e-01;5.59992385e-07;-5.60045389e-07;1.12085561e-06
-3.36000000e-01;5.58162869e-07;-5.58201681e-07;1.11543608e-06
-3.40000000e-01;5.56819168e-07;-5.56847589e-07;1.11340096e-06
-3.44000000e-01;5.55833016e-07;-5.55853829e-07;1.11236785e-06
-3.48000000e-01;5.55109664e-07;-5.55124907e-07;1.11041690e-06
-3.52000000e-01;5.54579288e-07;-5.54590451e-07;1.11025275e-06
-3.56000000e-01;5.54190518e-07;-5.54198694e-07;1.10975249e-06
-3.60000000e-01;5.53905607e-07;-5.53911595e-07;1.10950458e-06
-3.64000000e-01;5.53696841e-07;-5.53701227e-07;1.10761087e-06
-3.68000000e-01;5.53543888e-07;-5.53547100e-07;1.10683706e-06
-3.72000000e-01;5.53431835e-07;-5.53434187e-07;1.10669875e-06
-3.76000000e-01;5.53349750e-07;-5.53351473e-07;1.10629499e-06
-3.80000000e-01;5.53289622e-07;-5.53290884e-07;1.10575263e-06
-3.84000000e-01;5.53245578e-07;-5.53246503e-07;1.10815831e-06
-3.88000000e-01;5.53213317e-07;-5.53213994e-07;1.10694922e-06
-3.92000000e-01;5.53189687e-07;-5.53190183e-07;1.10774765e-06
-3.96000000e-01;5.53172380e-07;-5.53172743e-07;1.10788822e-06
-4.00000000e-01;5.53159703e-07;-5.53159968e-07;1.10593934e-06
-4.04000000e-01;5.53150417e-07;-5.53150612e-07;1.10617927e-06
-4.08000000e-01;5.53143616e-07;-5.53143759e-07;1.10529509e-06
-4.12000000e-01;5.53138635e-07;-5.53138740e-07;1.10625178e-06
-4.16000000e-01;5.53134987e-07;-5.53135063e-07;1.10551051e-06
-4.20000000e-01;5.53132315e-07;-5.53132371e-07;1.10891434e-06
-4.24000000e-01;5.53130357e-07;-5.53130399e-07;1.10645387e-06
-4.28000000e-01;5.53128924e-07;-5.53128954e-07;1.10525932e-06
-4.32000000e-01;5.53127874e-07;-5.53127896e-07;1.10629726e-06
-4.36000000e-01;5.53127105e-07;-5.53127121e-07;1.10735284e-06
-4.40000000e-01;5.53126542e-07;-5.53126554e-07;1.10671390e-06
-4.44000000e-01;5.53126129e-07;-5.53126138e-07;1.10414621e-06
-4.48000000e-01;5.53125827e-07;-5.53125833e-07;1.10884559e-06
-4.52000000e-01;5.53125606e-07;-5.53125610e-07;1.10682725e-06
-4.56000000e-01;5.53125444e-07;-5.53125447e-07;1.10579713e-06
-4.60000000e-01;5.53125325e-07;-5.53125327e-07;1.10555919e-06
-4.64000000e-01;5.53125238e-07;-5.53125240e-07;1.10567925e-06
-4.68000000e-01;5.53125174e-07;-5.53125176e-07;1.10611315e-06
-4.72000000e-01;5.53125128e-07;-5.53125129e-07;1.10703020e-06
-4.76000000e-01;5.53125094e-07;-5.53125094e-07;1.10706024e-06
-4.80000000e-01;5.53125068e-07;-5.53125069e-07;1.10662580e-06
-4.84000000e-01;5.53125050e-07;-5.53125051e-07;1.10575420e-06
-4.88000000e-01;5.53125037e-07;-5.53125037e-07;1.10749001e-06
-4.92000000e-01;5.53125027e-07;-5.53125027e-07;1.10657197e-06
-4.96000000e-01;5.53125020e-07;-5.53125020e-07;1.10616682e-06
