E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.17264335e-06;-1.17261872e-06;2.34438204e-06
-4.00000000e-03;1.17263972e-06;-1.17262007e-06;2.34605427e-06
-8.00000000e-03;1.17263690e-06;-1.17262112e-06;2.34545076e-06
-1.20000000e-02;1.17263477e-06;-1.17262198e-06;2.34195954e-06
-1.60000000e-02;1.17263315e-06;-1.17262271e-06;2.34585810e-06
-2.00000000e-02;1.17263194e-06;-1.17262336e-06;2.34487120e-06
-2.40000000e-02;1.17263105e-06;-1.17262398e-06;2.34440332e-06
-2.80000000e-02;1.17263043e-06;-1.17262462e-06;2.34577218e-06
-3.20000000e-02;1.17263007e-06;-1.17262532e-06;2.34660632e-06
-3.60000000e-02;1.17262996e-06;-1.17262615e-06;2.34520571e-06
-4.00000000e-02;1.17263011e-06;-1.17262717e-06;2.34293154e-06
-4.40000000e-02;1.17263057e-06;-1.17262847e-06;2.34435615e-06
-4.80000000e-02;1.17263140e-06;-1.17263017e-06;2.34594370e-06
-5.20000000e-02;1.17263271e-06;-1.17263243e-06;2.34628890e-06
-5.60000000e-02;1.17263463e-06;-1.17263547e-06;2.34372445e-06
-6.00000000e-02;1.17263736e-06;-1.17263958e-06;2.34319572e-06
-6.40000000e-02;1.17264120e-06;-1.17264515e-06;2.34520336e-06
-6.80000000e-02;1.17264653e-06;-1.17265273e-06;2.34756490e-06
-7.20000000e-02;1.17265387e-06;-1.17266305e-06;2.34797206e-06
-7.60000000e-02;1.17266396e-06;-1.17267711e-06;2.34606444e-06
-8.00000000e-02;1.17267778e-06;-1.17269629e-06;2.34256411e-06
-8.40000000e-02;1.17269670e-06;-1.17272247e-06;2.34767568e-06
-8.80000000e-02;1.17272257e-06;-1.17275818e-06;2.34712403e-06
-9.20000000e-02;1.17275792e-06;-1.17280693e-06;2.34565667e-06
-9.60000000e-02;1.17280622e-06;-1.17287348e-06;2.34404307e-06
-1.00000000e-01;1.17287218e-06;-1.17296431e-06;2.34604425e-06
-1.04000000e-01;1.17296226e-06;-1.17308832e-06;2.34793012e-06
-1.08000000e-01;1.17308526e-06;-1.17325759e-06;2.34778725e-06
-1.12000000e-01;1.17325319e-06;-1.17348866e-06;2.34712654e-06
-1.16000000e-01;1.17348246e-06;-1.17380408e-06;2.34740617e-06
-1.20000000e-01;1.17379542e-06;-1.17423459e-06;2.34617716e-06
-1.24000000e-01;1.17422261e-06;-1.17482213e-06;2.34737178e-06
-1.28000000e-01;1.17480564e-06;-1.17562388e-06;2.35013329e-06
-1.32000000e-01;1.17560124e-06;-1.17671770e-06;2.35545363e-06
-1.36000000e-01;1.17668669e-06;-1.17820961e-06;2.35634459e-06
-1.40000000e-01;1.17816717e-06;-1.18024368e-06;2.35959276e-06
-1.44000000e-01;1.18018566e-06;-1.18301533e-06;2.36452179e-06
-1.48000000e-01;1.18293605e-06;-1.18678857e-06;2.37272492e-06
-1.52000000e-01;1.18668028e-06;-1.19191761e-06;2.37909958e-06
-1.56000000e-01;1.19176974e-06;-1.19887231e-06;2.39306046e-06
-1.60000000e-01;1.19867041e-06;-1.20826500e-06;2.40491290e-06
-1.64000000e-01;1.20798936e-06;-1.22087456e-06;2.42998109e-06
-1.68000000e-01;1.22049832e-06;-1.23766144e-06;2.45785171e-06
-1.72000000e-01;1.23714792e-06;-1.25976707e-06;2.49892144e-06
-1.76000000e-01;1.25906628e-06;-1.28849264e-06;2.55205172e-06
-1.80000000e-01;1.28753642e-06;-1.32525470e-06;2.61232640e-06
-1.84000000e-01;1.32395016e-06;-1.37151833e-06;2.69594666e-06
-1.88000000e-01;1.36973857e-06;-1.42871027e-06;2.79284655e-06
-1.92000000e-01;1.42628041e-06;-1.49811384e-06;2.92557502e-06
-1.96000000e-01;1.49478746e-06;-1.58074454e-06;3.07607502e-06
-2.00000000e-01;1.57615966e-06;-1.67719929e-06;3.25362184e-06
-2.04000000e-01;1.67079532e-06;-1.78746600e-06;3.45623056e-06
-2.08000000e-01;1.77834103e-06;-1.91067854e-06;3.68486233e-06
-2.12000000e-01;1.89738280e-06;-2.04481135e-06;3.94124484e-06
-2.16000000e-01;2.02511686e-06;-2.18633591e-06;4.21176979e-06
-2.20000000e-01;2.15708252e-06;-2.32990899e-06;4.48770652e-06
-2.24000000e-01;2.28706834e-06;-2.46822752e-06;4.75553167e-06
-2.28000000e-01;2.40730904e-06;-2.59224352e-06;5.00086253e-06
-2.32000000e-01;2.50907465e-06;-2.69193782e-06;5.20174082e-06
-2.36000000e-01;2.58369740e-06;-2.75773355e-06;5.33790811e-06
-2.40000000e-01;2.62395068e-06;-2.78235837e-06;5.40703509e-06
-2.44000000e-01;2.62549021e-06;-2.76262042e-06;5.39120363e-06
-2.48000000e-01;2.58789550e-06;-2.70037995e-06;5.28723675e-06
-2.52000000e-01;2.51487445e-06;-2.60221042e-06;5.11491944e-06
-2.56000000e-01;2.41348890e-06;-2.47782708e-06;4.89364059e-06
-2.60000000e-01;2.29268009e-06;-2.33794688e-06;4.63252989e-06
-2.64000000e-01;2.16164206e-06;-2.19240974e-06;4.35430610e-06
-2.68000000e-01;2.02854293e-06;-2.04907544e-06;4.07781492e-06
-2.72000000e-01;1.89982108e-06;-1.91352826e-06;3.81591945e-06
-2.76000000e-01;1.78000790e-06;-1.78931142e-06;3.56730345e-06
-2.80000000e-01;1.67189448e-06;-1.67836678e-06;3.35372428e-06
-2.84000000e-01;1.57685686e-06;-1.58146516e-06;3.15875209e-06
-2.88000000e-01;1.49521053e-06;-1.49854477e-06;2.99407743e-06
-2.92000000e-01;1.42652467e-06;-1.42895793e-06;2.85611919e-06
-2.96000000e-01;1.36987206e-06;-1.37165423e-06;2.74096850e-06
-3.00000000e-01;1.32401878e-06;-1.32532566e-06;2.65274219e-06
-3.04000000e-01;1.28756927e-06;-1.28852798e-06;2.57701567e-06
-3.08000000e-01;1.25908066e-06;-1.25978411e-06;2.51634103e-06
-3.12000000e-01;1.23715341e-06;-1.23766977e-06;2.47415534e-06
-3.16000000e-01;1.22049985e-06;-1.22087911e-06;2.44050368e-06
-3.20000000e-01;1.20798926e-06;-1.20826808e-06;2.41790584e-06
-3.24000000e-01;1.19866967e-06;-1.19887494e-06;2.39462833e-06
-3.28000000e-01;1.19176875e-06;-1.19192017e-06;2.38270373e-06
-3.32000000e-01;1.18667919e-06;-1.18679118e-06;2.37491753e-06
-3.36000000e-01;1.18293489e-06;-1.18301804e-06;2.36742368e-06
-3.40000000e-01;1.18018444e-06;-1.18024648e-06;2.35987162e-06
-3.44000000e-01;1.17816590e-06;-1.17821251e-06;2.35655634e-06
-3.48000000e-01;1.17668537e-06;-1.17672068e-06;2.35098303e-06
-3.52000000e-01;1.17559988e-06;-1.17562692e-06;2.35405228e-06
-3.56000000e-01;1.17480424e-06;-1.17482523e-06;2.34869565e-06
-3.60000000e-01;1.17422117e-06;-1.17423773e-06;2.34605552e-06
-3.64000000e-01;1.17379395e-06;-1.17380724e-06;2.34610268e-06
-3.68000000e-01;1.17348095e-06;-1.17349183e-06;2.34503693e-06
-3.72000000e-01;1.17325166e-06;-1.17326075e-06;2.34252556e-06
