E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.40984109e-06;-1.31014446e-06;2.71752561e-06
-4.00000000e-03;1.40019815e-06;-1.31217705e-06;2.71412590e-06
-8.00000000e-03;1.39168444e-06;-1.31397163e-06;2.70479745e-06
-1.20000000e-02;1.38416781e-06;-1.31555607e-06;2.70038959e-06
-1.60000000e-02;1.37753149e-06;-1.31695500e-06;2.69524348e-06
-2.00000000e-02;1.37167239e-06;-1.31819015e-06;2.68548228e-06
-2.40000000e-02;1.36649952e-06;-1.31928074e-06;2.68690836e-06
-2.80000000e-02;1.36193254e-06;-1.32024371e-06;2.68000233e-06
-3.20000000e-02;1.35790050e-06;-1.32109406e-06;2.67619518e-06
-3.60000000e-02;1.35434081e-06;-1.32184502e-06;2.67869712e-06
-4.00000000e-02;1.35119820e-06;-1.32250831e-06;2.67007766e-06
-4.40000000e-02;1.34842390e-06;-1.32309431e-06;2.66794329e-06
-4.80000000e-02;1.34597487e-06;-1.32361218e-06;2.66769394e-06
-5.20000000e-02;1.34381316e-06;-1.32407012e-06;2.67104680e-06
-5.60000000e-02;1.34190531e-06;-1.32447538e-06;2.66846066e-06
-6.00000000e-02;1.34022185e-06;-1.32483449e-06;2.66468144e-06
-6.40000000e-02;1.33873683e-06;-1.32515333e-06;2.66795598e-06
-6.80000000e-02;1.33742750e-06;-1.32543728e-06;2.66115484e-06
-7.20000000e-02;1.33627394e-06;-1.32569130e-06;2.65792579e-06
-7.60000000e-02;1.33525877e-06;-1.32592013e-06;2.66268566e-06
-8.00000000e-02;1.33436701e-06;-1.32612837e-06;2.66098252e-06
-8.40000000e-02;1.33358585e-06;-1.32632070e-06;2.66068390e-06
-8.80000000e-02;1.33290459e-06;-1.32650209e-06;2.65694212e-06
-9.20000000e-02;1.33231460e-06;-1.32667805e-06;2.66026187e-06
-9.60000000e-02;1.33180940e-06;-1.32685499e-06;2.65935537e-06
-1.00000000e-01;1.33138478e-06;-1.32704067e-06;2.65560989e-06
-1.04000000e-01;1.33103913e-06;-1.32724483e-06;2.65949198e-06
-1.08000000e-01;1.33077389e-06;-1.32747999e-06;2.65888115e-06
-1.12000000e-01;1.33059420e-06;-1.32776258e-06;2.66156175e-06
-1.16000000e-01;1.33050994e-06;-1.32811437e-06;2.65773473e-06
-1.20000000e-01;1.33053707e-06;-1.32856459e-06;2.65967642e-06
-1.24000000e-01;1.33069959e-06;-1.32915260e-06;2.66194466e-06
-1.28000000e-01;1.33103214e-06;-1.32993165e-06;2.65819657e-06
-1.32000000e-01;1.33158367e-06;-1.33097393e-06;2.66137636e-06
-1.36000000e-01;1.33242236e-06;-1.33237738e-06;2.66258326e-06
-1.40000000e-01;1.33364237e-06;-1.33427482e-06;2.66667126e-06
