E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;8.29687498e-07;-8.29687588e-07;1.66058043e-06
-4.00000000e-03;8.29687587e-07;-8.29687620e-07;1.65886115e-06
-8.00000000e-03;8.29687619e-07;-8.29687663e-07;1.65864988e-06
-1.20000000e-02;8.29687662e-07;-8.29687723e-07;1.65787607e-06
-1.60000000e-02;8.29687721e-07;-8.29687804e-07;1.65790368e-06
-2.00000000e-02;8.29687802e-07;-8.29687915e-07;1.66256702e-06
-2.40000000e-02;8.29687912e-07;-8.29688067e-07;1.65954230e-06
-2.80000000e-02;8.29688063e-07;-8.29688274e-07;1.65951651e-06
-3.20000000e-02;8.29688268e-07;-8.29688557e-07;1.66046040e-06
-3.60000000e-02;8.29688549e-07;-8.29688943e-07;1.65974097e-06
-4.00000000e-02;8.29688932e-07;-8.29689471e-07;1.65821988e-06
-4.40000000e-02;8.29689456e-07;-8.29690191e-07;1.65814703e-06
-4.80000000e-02;8.29690170e-07;-8.29691174e-07;1.65991200e-06
-5.20000000e-02;8.29691146e-07;-8.29692516e-07;1.65854275e-06
-5.60000000e-02;8.29692477e-07;-8.29694348e-07;1.66054741e-06
-6.00000000e-02;8.29694296e-07;-8.29696850e-07;1.65875326e-06
-6.40000000e-02;8.29696778e-07;-8.29700265e-07;1.65824939e-06
-6.80000000e-02;8.29700168e-07;-8.29704928e-07;1.65908530e-06
-7.20000000e-02;8.29704796e-07;-8.29711295e-07;1.65838482e-06
-7.60000000e-02;8.29711114e-07;-8.29719988e-07;1.65936551e-06
-8.00000000e-02;8.29719741e-07;-8.29731856e-07;1.65684577e-06
-8.40000000e-02;8.29731519e-07;-8.29748060e-07;1.65883855e-06
-8.80000000e-02;8.29747599e-07;-8.29770183e-07;1.66119203e-06
-9.20000000e-02;8.29769554e-07;-8.29800386e-07;1.65903368e-06
-9.60000000e-02;8.29799528e-07;-8.29841622e-07;1.66177694e-06
-1.00000000e-01;8.29840450e-07;-8.29897919e-07;1.66229594e-06
-1.04000000e-01;8.29896318e-07;-8.29974776e-07;1.65929854e-06
-1.08000000e-01;8.29972590e-07;-8.30079698e-07;1.66117524e-06
-1.12000000e-01;8.30076714e-07;-8.30222928e-07;1.65972167e-06
-1.16000000e-01;8.30218854e-07;-8.30418442e-07;1.66047983e-06
-1.20000000e-01;8.30412879e-07;-8.30685304e-07;1.66003487e-06
