E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;2.93160837e-06;-2.93154681e-06;5.86172673e-06
-4.00000000e-03;2.93159929e-06;-2.93155017e-06;5.86706481e-06
-8.00000000e-03;2.93159226e-06;-2.93155281e-06;5.86126628e-06
-1.20000000e-02;2.93158693e-06;-2.93155496e-06;5.86036137e-06
-1.60000000e-02;2.93158288e-06;-2.93155678e-06;5.85906570e-06
-2.00000000e-02;2.93157985e-06;-2.93155841e-06;5.86348662e-06
-2.40000000e-02;2.93157762e-06;-2.93155996e-06;5.85908346e-06
-2.80000000e-02;2.93157608e-06;-2.93156155e-06;5.87082791e-06
-3.20000000e-02;2.93157518e-06;-2.93156331e-06;5.85657908e-06
-3.60000000e-02;2.93157490e-06;-2.93156537e-06;5.86821966e-06
-4.00000000e-02;2.93157528e-06;-2.93156792e-06;5.85891536e-06
-4.40000000e-02;2.93157643e-06;-2.93157117e-06;5.86424867e-06
-4.80000000e-02;2.93157850e-06;-2.93157543e-06;5.86790993e-06
-5.20000000e-02;2.93158176e-06;-2.93158109e-06;5.86652162e-06
-5.60000000e-02;2.93158656e-06;-2.93158869e-06;5.86548260e-06
-6.00000000e-02;2.93159341e-06;-2.93159896e-06;5.85830495e-06
-6.40000000e-02;2.93160301e-06;-2.93161289e-06;5.86211269e-06
-6.80000000e-02;2.93161632e-06;-2.93163183e-06;5.86802222e-06
-7.20000000e-02;2.93163468e-06;-2.93165762e-06;5.86008447e-06
-7.60000000e-02;2.93165989e-06;-2.93169278e-06;5.86092692e-06
-8.00000000e-02;2.93169445e-06;-2.93174074e-06;5.86934993e-06
-8.40000000e-02;2.93174175e-06;-2.93180616e-06;5.86898584e-06
-8.80000000e-02;2.93180642e-06;-2.93189546e-06;5.86082117e-06
-9.20000000e-02;2.93189480e-06;-2.93201733e-06;5.85685117e-06
-9.60000000e-02;2.93201554e-06;-2.93218369e-06;5.85660861e-06
-1.00000000e-01;2.93218045e-06;-2.93241079e-06;5.86295680e-06
-1.04000000e-01;2.93240565e-06;-2.93272079e-06;5.87000058e-06
-1.08000000e-01;2.93271315e-06;-2.93314398e-06;5.87208619e-06
-1.12000000e-01;2.93313299e-06;-2.93372166e-06;5.87364249e-06
-1.16000000e-01;2.93370614e-06;-2.93451017e-06;5.86586834e-06
-1.20000000e-01;2.93448853e-06;-2.93558632e-06;5.86929977e-06
-1.24000000e-01;2.93555638e-06;-2.93705461e-06;5.86981165e-06
-1.28000000e-01;2.93701338e-06;-2.93905663e-06;5.87726100e-06
-1.32000000e-01;2.93900004e-06;-2.94178286e-06;5.88038146e-06
-1.36000000e-01;2.94170532e-06;-2.94548627e-06;5.88859902e-06
-1.40000000e-01;2.94538018e-06;-2.95049693e-06;5.89799510e-06
-1.44000000e-01;2.95035189e-06;-2.95723565e-06;5.90831642e-06
-1.48000000e-01;2.95703746e-06;-2.96622467e-06;5.92227713e-06
-1.52000000e-01;2.96595396e-06;-2.97809390e-06;5.94382005e-06
-1.56000000e-01;2.97772421e-06;-2.99358205e-06;5.97206755e-06
-1.60000000e-01;2.99307726e-06;-3.01353358e-06;6.00235551e-06
-1.64000000e-01;3.01284421e-06;-3.03889296e-06;6.05397807e-06
-1.68000000e-01;3.03795073e-06;-3.07069821e-06;6.11619414e-06
-1.72000000e-01;3.06940661e-06;-3.11007412e-06;6.17921069e-06
-1.76000000e-01;3.10829027e-06;-3.15822334e-06;6.26320439e-06
-1.80000000e-01;3.15572082e-06;-3.21641015e-06;6.37523200e-06
-1.84000000e-01;3.21280646e-06;-3.28592965e-06;6.50151686e-06
-1.88000000e-01;3.28055988e-06;-3.36805652e-06;6.64982690e-06
-1.92000000e-01;3.35978256e-06;-3.46397128e-06;6.82419692e-06
-1.96000000e-01;3.45093638e-06;-3.57466460e-06;7.02312236e-06
-2.00000000e-01;3.55402661e-06;-3.70081345e-06;7.25346922e-06
-2.04000000e-01;3.66850552e-06;-3.84260887e-06;7.51340174e-06
-2.08000000e-01;3.79317741e-06;-3.99950251e-06;7.79753881e-06
-2.12000000e-01;3.92607179e-06;-4.16984353e-06;8.10012327e-06
-2.16000000e-01;4.06426860e-06;-4.35040729e-06;8.41271162e-06
-2.20000000e-01;4.20370357e-06;-4.53587429e-06;8.74179496e-06
-2.24000000e-01;4.33903118e-06;-4.71839742e-06;9.05501849e-06
-2.28000000e-01;4.46365755e-06;-4.88748391e-06;9.35570217e-06
-2.32000000e-01;4.57006135e-06;-5.03047797e-06;9.60149497e-06
-2.36000000e-01;4.65048156e-06;-5.13389430e-06;9.78591782e-06
-2.40000000e-01;4.69795458e-06;-5.18564111e-06;9.88111961e-06
-2.44000000e-01;4.70753672e-06;-5.17776158e-06;9.88381535e-06
-2.48000000e-01;4.67739941e-06;-5.10884804e-06;9.79144737e-06
-2.52000000e-01;4.60942170e-06;-4.98506029e-06;9.58904968e-06
-2.56000000e-01;4.50900697e-06;-4.81903965e-06;9.33019724e-06
-2.60000000e-01;4.38411630e-06;-4.62694799e-06;9.01051168e-06
-2.64000000e-01;4.24382010e-06;-4.42483033e-06;8.66789083e-06
-2.68000000e-01;4.09684258e-06;-4.22576703e-06;8.32065980e-06
-2.72000000e-01;3.95051186e-06;-4.03864045e-06;7.98979402e-06
-2.76000000e-01;3.81028913e-06;-3.86836832e-06;7.67602238e-06
-2.80000000e-01;3.67979787e-06;-3.71689530e-06;7.39683723e-06
-2.84000000e-01;3.56113887e-06;-3.58428051e-06;7.14812809e-06
-2.88000000e-01;3.45528160e-06;-3.46954871e-06;6.92629456e-06
-2.92000000e-01;3.36240440e-06;-3.37124525e-06;6.73982335e-06
-2.96000000e-01;3.28214362e-06;-3.28775518e-06;6.56290241e-06
-3.00000000e-01;3.21376664e-06;-3.21746605e-06;6.43202830e-06
-3.04000000e-01;3.15629981e-06;-3.15883895e-06;6.31605722e-06
-3.08000000e-01;3.10863243e-06;-3.11043193e-06;6.22162236e-06
-3.12000000e-01;3.06960196e-06;-3.07090296e-06;6.13987863e-06
-3.16000000e-01;3.03805718e-06;-3.03900745e-06;6.07514528e-06
-3.20000000e-01;3.01289883e-06;-3.01359627e-06;6.02832465e-06
-3.24000000e-01;2.99310304e-06;-2.99361627e-06;5.98458543e-06
-3.28000000e-01;2.97773477e-06;-2.97811332e-06;5.95289700e-06
-3.32000000e-01;2.96595693e-06;-2.96623692e-06;5.93162442e-06
-3.36000000e-01;2.95703687e-06;-2.95724473e-06;5.91839216e-06
-3.40000000e-01;2.95034970e-06;-2.95050480e-06;5.90664336e-06
-3.44000000e-01;2.94537729e-06;-2.94549379e-06;5.89130358e-06
-3.48000000e-01;2.94170212e-06;-2.94179039e-06;5.87877576e-06
-3.52000000e-01;2.93899666e-06;-2.93906427e-06;5.87748592e-06
-3.56000000e-01;2.93700987e-06;-2.93706236e-06;5.87065163e-06
-3.60000000e-01;2.93555278e-06;-2.93559417e-06;5.86827230e-06
-3.64000000e-01;2.93448484e-06;-2.93451808e-06;5.86709501e-06
-3.68000000e-01;2.93370237e-06;-2.93372958e-06;5.87398363e-06
-3.72000000e-01;2.93312916e-06;-2.93315187e-06;5.86483262e-06
-3.76000000e-01;2.93270928e-06;-2.93272859e-06;5.86162200e-06
-3.80000000e-01;2.93240174e-06;-2.93241845e-06;5.86042815e-06
-3.84000000e-01;2.93217651e-06;-2.93219116e-06;5.86249565e-06
-3.88000000e-01;2.93201158e-06;-2.93202457e-06;5.86319591e-06
-3.92000000e-01;2.93189082e-06;-2.93190241e-06;5.86904508e-06
-3.96000000e-01;2.93180243e-06;-2.93181280e-06;5.86283093e-06
-4.00000000e-01;2.93173774e-06;-2.93174702e-06;5.85979980e-06
-4.04000000e-01;2.93169041e-06;-2.93169869e-06;5.86334035e-06
-4.08000000e-01;2.93165581e-06;-2.93166314e-06;5.86589075e-06
-4.12000000e-01;2.93163052e-06;-2.93163696e-06;5.86965823e-06
-4.16000000e-01;2.93161206e-06;-2.93161764e-06;5.86443526e-06
-4.20000000e-01;2.93159859e-06;-2.93160337e-06;5.86061496e-06
-4.24000000e-01;2.93158877e-06;-2.93159280e-06;5.86110924e-06
-4.28000000e-01;2.93158162e-06;-2.93158496e-06;5.86814401e-06
-4.32000000e-01;2.93157642e-06;-2.93157914e-06;5.86681048e-06
-4.36000000e-01;2.93157264e-06;-2.93157480e-06;5.87224739e-06
-4.40000000e-01;2.93156989e-06;-2.93157158e-06;5.86081718e-06
-4.44000000e-01;2.93156790e-06;-2.93156918e-06;5.86359171e-06
-4.48000000e-01;2.93156645e-06;-2.93156739e-06;5.85558659e-06
-4.52000000e-01;2.93156540e-06;-2.93156607e-06;5.86419167e-06
-4.56000000e-01;2.93156463e-06;-2.93156510e-06;5.86067908e-06
-4.60000000e-01;2.93156407e-06;-2.93156438e-06;5.86366317e-06
-4.64000000e-01;2.93156366e-06;-2.93156386e-06;5.86560472e-06
-4.68000000e-01;2.93156335e-06;-2.93156348e-06;5.86765623e-06
-4.72000000e-01;2.93156313e-06;-2.93156321e-06;5.86959460e-06
-4.76000000e-01;2.93156297e-06;-2.93156301e-06;5.86060827e-06
-4.80000000e-01;2.93156285e-06;-2.93156287e-06;5.86381755e-06
-4.84000000e-01;2.93156275e-06;-2.93156277e-06;5.86032831e-06
-4.88000000e-01;2.93156269e-06;-2.93156270e-06;5.86294891e-06
-4.92000000e-01;2.93156264e-06;-2.93156264e-06;5.86684170e-06
-4.96000000e-01;2.93156260e-06;-2.93156260e-06;5.85904676e-06
