E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.72698511e-05;-1.72548988e-05;3.45233703e-05
-4.00000000e-03;1.72684068e-05;-1.72552044e-05;3.45235723e-05
-8.00000000e-03;1.72671305e-05;-1.72554747e-05;3.45234105e-05
-1.20000000e-02;1.72660041e-05;-1.72557138e-05;3.45193981e-05
-1.60000000e-02;1.72650100e-05;-1.72559255e-05;3.45190145e-05
-2.00000000e-02;1.72641331e-05;-1.72561135e-05;3.45189298e-05
-2.40000000e-02;1.72633598e-05;-1.72562807e-05;3.45210194e-05
-2.80000000e-02;1.72626784e-05;-1.72564301e-05;3.45206385e-05
-3.20000000e-02;1.72620785e-05;-1.72565645e-05;3.45190840e-05
-3.60000000e-02;1.72615513e-05;-1.72566864e-05;3.45188542e-05
-4.00000000e-02;1.72610891e-05;-1.72567985e-05;3.45170548e-05
-4.40000000e-02;1.72606855e-05;-1.72569037e-05;3.45159734e-05
-4.80000000e-02;1.72603352e-05;-1.72570049e-05;3.45179956e-05
-5.20000000e-02;1.72600344e-05;-1.72571058e-05;3.45181761e-05
-5.60000000e-02;1.72597801e-05;-1.72572105e-05;3.45168692e-05
-6.00000000e-02;1.72595712e-05;-1.72573243e-05;3.45141756e-05
-6.40000000e-02;1.72594080e-05;-1.72574540e-05;3.45172180e-05
-6.80000000e-02;1.72592928e-05;-1.72576084e-05;3.45170707e-05
-7.20000000e-02;1.72592308e-05;-1.72577992e-05;3.45159801e-05
-7.60000000e-02;1.72592299e-05;-1.72580417e-05;3.45183550e-05
-8.00000000e-02;1.72593028e-05;-1.72583570e-05;3.45196446e-05
-8.40000000e-02;1.72594675e-05;-1.72587724e-05;3.45193997e-05
-8.80000000e-02;1.72597490e-05;-1.72593245e-05;3.45192473e-05
-9.20000000e-02;1.72601813e-05;-1.72600599e-05;3.45194387e-05
-9.60000000e-02;1.72608090e-05;-1.72610380e-05;3.45225724e-05
-1.00000000e-01;1.72616894e-05;-1.72623316e-05;3.45222540e-05
-1.04000000e-01;1.72628930e-05;-1.72640282e-05;3.45280744e-05
-1.08000000e-01;1.72645051e-05;-1.72662301e-05;3.45317681e-05
-1.12000000e-01;1.72666257e-05;-1.72690551e-05;3.45357890e-05
-1.16000000e-01;1.72693694e-05;-1.72726365e-05;3.45433744e-05
-1.20000000e-01;1.72728661e-05;-1.72771239e-05;3.45493277e-05
-1.24000000e-01;1.72772601e-05;-1.72826844e-05;3.45610676e-05
-1.28000000e-01;1.72827101e-05;-1.72895039e-05;3.45728818e-05
-1.32000000e-01;1.72893869e-05;-1.72977881e-05;3.45870811e-05
-1.36000000e-01;1.72974687e-05;-1.73077637e-05;3.46062448e-05
-1.40000000e-01;1.73071325e-05;-1.73196787e-05;3.46259069e-05
-1.44000000e-01;1.73185455e-05;-1.73338050e-05;3.46518991e-05
-1.48000000e-01;1.73318579e-05;-1.73504459e-05;3.46801498e-05
-1.52000000e-01;1.73472029e-05;-1.73699476e-05;3.47172295e-05
-1.56000000e-01;1.73647032e-05;-1.73927170e-05;3.47582408e-05
-1.60000000e-01;1.73844814e-05;-1.74192410e-05;3.48046840e-05
-1.64000000e-01;1.74066667e-05;-1.74501053e-05;3.48573487e-05
-1.68000000e-01;1.74313947e-05;-1.74860112e-05;3.49183368e-05
-1.72000000e-01;1.74587993e-05;-1.75277898e-05;3.49878587e-05
-1.76000000e-01;1.74889967e-05;-1.75764137e-05;3.50633743e-05
-1.80000000e-01;1.75220648e-05;-1.76330064e-05;3.51545481e-05
-1.84000000e-01;1.75580199e-05;-1.76988481e-05;3.52557000e-05
-1.88000000e-01;1.75967909e-05;-1.77753752e-05;3.53716168e-05
-1.92000000e-01;1.76381927e-05;-1.78641700e-05;3.55025826e-05
-1.96000000e-01;1.76819006e-05;-1.79669341e-05;3.56502298e-05
-2.00000000e-01;1.77274253e-05;-1.80854379e-05;3.58122468e-05
-2.04000000e-01;1.77740923e-05;-1.82214362e-05;3.59945485e-05
-2.08000000e-01;1.78210285e-05;-1.83765381e-05;3.61947246e-05
-2.12000000e-01;1.78671590e-05;-1.85520173e-05;3.64208249e-05
-2.16000000e-01;1.79112198e-05;-1.87485483e-05;3.66589880e-05
-2.20000000e-01;1.79517898e-05;-1.89658600e-05;3.69194638e-05
-2.24000000e-01;1.79873498e-05;-1.92023013e-05;3.71902549e-05
-2.28000000e-01;1.80163703e-05;-1.94543329e-05;3.74698445e-05
-2.32000000e-01;1.80374306e-05;-1.97159830e-05;3.77512495e-05
-2.36000000e-01;1.80493672e-05;-1.99783433e-05;3.80268518e-05
-2.40000000e-01;1.80514394e-05;-2.02292325e-05;3.82804227e-05
-2.44000000e-01;1.80434939e-05;-2.04532067e-05;3.84967263e-05
-2.48000000e-01;1.80260935e-05;-2.06321423e-05;3.86591722e-05
-2.52000000e-01;1.80005695e-05;-2.07466151e-05;3.87454958e-05
-2.56000000e-01;1.79689497e-05;-2.07782232e-05;3.87465804e-05
-2.60000000e-01;1.79337256e-05;-2.07127890e-05;3.86460843e-05
-2.64000000e-01;1.78974562e-05;-2.05440341e-05;3.84429279e-05
-2.68000000e-01;1.78622599e-05;-2.02768766e-05;3.81398611e-05
-2.72000000e-01;1.78293215e-05;-1.99291392e-05;3.77585142e-05
-2.76000000e-01;1.77985903e-05;-1.95304362e-05;3.73287778e-05
-2.80000000e-01;1.77688460e-05;-1.91176117e-05;3.68848114e-05
-2.84000000e-01;1.77381974e-05;-1.87273833e-05;3.64656217e-05
-2.88000000e-01;1.77048873e-05;-1.83883710e-05;3.60900196e-05
-2.92000000e-01;1.76680767e-05;-1.81155372e-05;3.57816229e-05
-2.96000000e-01;1.76282293e-05;-1.79093509e-05;3.55363400e-05
-3.00000000e-01;1.75869015e-05;-1.77597130e-05;3.53470048e-05
-3.04000000e-01;1.75460856e-05;-1.76522234e-05;3.51987768e-05
-3.08000000e-01;1.75075074e-05;-1.75735346e-05;3.50815341e-05
-3.12000000e-01;1.74722347e-05;-1.75138902e-05;3.49870060e-05
-3.16000000e-01;1.74406763e-05;-1.74671198e-05;3.49068460e-05
-3.20000000e-01;1.74127992e-05;-1.74295264e-05;3.48418563e-05
-3.24000000e-01;1.73883581e-05;-1.73988238e-05;3.47857827e-05
-3.28000000e-01;1.73670418e-05;-1.73734934e-05;3.47408806e-05
-3.32000000e-01;1.73485420e-05;-1.73524609e-05;3.46993450e-05
-3.36000000e-01;1.73325762e-05;-1.73349350e-05;3.46678992e-05
-3.40000000e-01;1.73188912e-05;-1.73203150e-05;3.46426735e-05
-3.44000000e-01;1.73072564e-05;-1.73081334e-05;3.46177695e-05
-3.48000000e-01;1.72974559e-05;-1.72980164e-05;3.45949591e-05
-3.52000000e-01;1.72892832e-05;-1.72896578e-05;3.45778236e-05
-3.56000000e-01;1.72825391e-05;-1.72827996e-05;3.45657590e-05
-3.60000000e-01;1.72770341e-05;-1.72772202e-05;3.45535613e-05
-3.64000000e-01;1.72725907e-05;-1.72727257e-05;3.45447288e-05
-3.68000000e-01;1.72690462e-05;-1.72691447e-05;3.45409341e-05
-3.72000000e-01;1.72662532e-05;-1.72663253e-05;3.45313566e-05
-3.76000000e-01;1.72640799e-05;-1.72641327e-05;3.45285440e-05
-3.80000000e-01;1.72624097e-05;-1.72624484e-05;3.45245647e-05
-3.84000000e-01;1.72611412e-05;-1.72611695e-05;3.45243145e-05
-3.88000000e-01;1.72601878e-05;-1.72602085e-05;3.45208860e-05
-3.92000000e-01;1.72594774e-05;-1.72594926e-05;3.45180337e-05
-3.96000000e-01;1.72589517e-05;-1.72589628e-05;3.45194600e-05
-4.00000000e-01;1.72585645e-05;-1.72585726e-05;3.45174389e-05
