E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;2.76562499e-06;-2.76562538e-06;5.53643486e-06
-4.00000000e-03;2.76562537e-06;-2.76562551e-06;5.53433182e-06
-8.00000000e-03;2.76562551e-06;-2.76562570e-06;5.53457643e-06
-1.20000000e-02;2.76562570e-06;-2.76562596e-06;5.52833808e-06
-1.60000000e-02;2.76562595e-06;-2.76562631e-06;5.52944057e-06
-2.00000000e-02;2.76562630e-06;-2.76562678e-06;5.52897510e-06
-2.40000000e-02;2.76562677e-06;-2.76562744e-06;5.52613361e-06
-2.80000000e-02;2.76562742e-06;-2.76562833e-06;5.53001206e-06
-3.20000000e-02;2.76562830e-06;-2.76562954e-06;5.53385284e-06
-3.60000000e-02;2.76562951e-06;-2.76563120e-06;5.53183308e-06
-4.00000000e-02;2.76563115e-06;-2.76563347e-06;5.53060753e-06
-4.40000000e-02;2.76563340e-06;-2.76563656e-06;5.52663897e-06
-4.80000000e-02;2.76563647e-06;-2.76564078e-06;5.53680551e-06
-5.20000000e-02;2.76564066e-06;-2.76564655e-06;5.52685725e-06
-5.60000000e-02;2.76564638e-06;-2.76565442e-06;5.53469818e-06
-6.00000000e-02;2.76565420e-06;-2.76566517e-06;5.52886789e-06
-6.40000000e-02;2.76566486e-06;-2.76567984e-06;5.53183259e-06
-6.80000000e-02;2.76567943e-06;-2.76569988e-06;5.53168477e-06
-7.20000000e-02;2.76569931e-06;-2.76572723e-06;5.52888479e-06
-7.60000000e-02;2.76572645e-06;-2.76576458e-06;5.52943683e-06
-8.00000000e-02;2.76576352e-06;-2.76581557e-06;5.52683994e-06
-8.40000000e-02;2.76581412e-06;-2.76588518e-06;5.52866189e-06
-8.80000000e-02;2.76588320e-06;-2.76598023e-06;5.53152342e-06
-9.20000000e-02;2.76597752e-06;-2.76610999e-06;5.53217559e-06
-9.60000000e-02;2.76610630e-06;-2.76628714e-06;5.53442597e-06
-1.00000000e-01;2.76628211e-06;-2.76652900e-06;5.53676842e-06
-1.04000000e-01;2.76652213e-06;-2.76685919e-06;5.52723697e-06
-1.08000000e-01;2.76684980e-06;-2.76730993e-06;5.53331182e-06
-1.12000000e-01;2.76729711e-06;-2.76792524e-06;5.53464589e-06
-1.16000000e-01;2.76790773e-06;-2.76876509e-06;5.54321466e-06
-1.20000000e-01;2.76874119e-06;-2.76991127e-06;5.53755101e-06
-1.24000000e-01;2.76987864e-06;-2.77147495e-06;5.54232206e-06
-1.28000000e-01;2.77143040e-06;-2.77360667e-06;5.54762032e-06
-1.32000000e-01;2.77354583e-06;-2.77650853e-06;5.55022506e-06
-1.36000000e-01;2.77642547e-06;-2.78044838e-06;5.55448834e-06
-1.40000000e-01;2.78033497e-06;-2.78577447e-06;5.56578585e-06
-1.44000000e-01;2.78561961e-06;-2.79292850e-06;5.57988424e-06
-1.48000000e-01;2.79271704e-06;-2.80245730e-06;5.59492610e-06
-1.52000000e-01;2.80216853e-06;-2.81501607e-06;5.61394755e-06
-1.56000000e-01;2.81462172e-06;-2.83136966e-06;5.64907833e-06
-1.60000000e-01;2.83083105e-06;-2.85238803e-06;5.68162148e-06
-1.64000000e-01;2.85165210e-06;-2.87903950e-06;5.73296338e-06
-1.68000000e-01;2.87803274e-06;-2.91238322e-06;5.78900339e-06
-1.72000000e-01;2.91100109e-06;-2.95356102e-06;5.87134637e-06
-1.76000000e-01;2.95164712e-06;-3.00378631e-06;5.95710223e-06
-1.80000000e-01;3.00108996e-06;-3.06432426e-06;6.06353596e-06
-1.84000000e-01;3.06041868e-06;-3.13645579e-06;6.19864082e-06
-1.88000000e-01;3.13059866e-06;-3.22142007e-06;6.35310119e-06
-1.92000000e-01;3.21234631e-06;-3.32033392e-06;6.52729837e-06
-1.96000000e-01;3.30599823e-06;-3.43409106e-06;6.73719372e-06
-2.00000000e-01;3.41139501e-06;-3.56323277e-06;6.97701823e-06
-2.04000000e-01;3.52779121e-06;-3.70777050e-06;7.22909315e-06
-2.08000000e-01;3.65376831e-06;-3.86692835e-06;7.52511885e-06
-2.12000000e-01;3.78711865e-06;-4.03878171e-06;7.82910854e-06
-2.16000000e-01;3.92469009e-06;-4.21980129e-06;8.14603002e-06
-2.20000000e-01;4.06222683e-06;-4.40436956e-06;8.46975825e-06
-2.24000000e-01;4.19428618e-06;-4.58441137e-06;8.77755997e-06
-2.28000000e-01;4.31433499e-06;-4.74935667e-06;9.06146564e-06
-2.32000000e-01;4.41512156e-06;-4.88669742e-06;9.30237282e-06
-2.36000000e-01;4.48937064e-06;-4.98335185e-06;9.47649373e-06
-2.40000000e-01;4.53075730e-06;-5.02784441e-06;9.55877197e-06
-2.44000000e-01;4.53499545e-06;-5.01293102e-06;9.54392031e-06
-2.48000000e-01;4.50076855e-06;-4.93786589e-06;9.43710072e-06
