E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.90835007e-06;-1.90825729e-06;3.81490366e-06
-4.00000000e-03;1.90833601e-06;-1.90826216e-06;3.81362595e-06
-8.00000000e-03;1.90832530e-06;-1.90826591e-06;3.81852922e-06
-1.20000000e-02;1.90831709e-06;-1.90826884e-06;3.81589946e-06
-1.60000000e-02;1.90831074e-06;-1.90827117e-06;3.81909055e-06
-2.00000000e-02;1.90830578e-06;-1.90827306e-06;3.81688295e-06
-2.40000000e-02;1.90830190e-06;-1.90827465e-06;3.81529364e-06
-2.80000000e-02;1.90829885e-06;-1.90827602e-06;3.81707664e-06
-3.20000000e-02;1.90829648e-06;-1.90827726e-06;3.81903140e-06
-3.60000000e-02;1.90829468e-06;-1.90827845e-06;3.81362860e-06
-4.00000000e-02;1.90829336e-06;-1.90827967e-06;3.81630336e-06
-4.40000000e-02;1.90829251e-06;-1.90828100e-06;3.81192297e-06
-4.80000000e-02;1.90829210e-06;-1.90828255e-06;3.81546748e-06
-5.20000000e-02;1.90829219e-06;-1.90828442e-06;3.81551100e-06
-5.60000000e-02;1.90829283e-06;-1.90828680e-06;3.81367278e-06
-6.00000000e-02;1.90829414e-06;-1.90828988e-06;3.82004100e-06
-6.40000000e-02;1.90829631e-06;-1.90829395e-06;3.81971382e-06
-6.80000000e-02;1.90829958e-06;-1.90829939e-06;3.81638839e-06
-7.20000000e-02;1.90830432e-06;-1.90830672e-06;3.81631816e-06
-7.60000000e-02;1.90831102e-06;-1.90831664e-06;3.81747921e-06
-8.00000000e-02;1.90832036e-06;-1.90833011e-06;3.81372986e-06
-8.40000000e-02;1.90833329e-06;-1.90834843e-06;3.81966182e-06
-8.80000000e-02;1.90835108e-06;-1.90837340e-06;3.81457993e-06
-9.20000000e-02;1.90837551e-06;-1.90840743e-06;3.81305050e-06
-9.60000000e-02;1.90840897e-06;-1.90845384e-06;3.81709058e-06
-1.00000000e-01;1.90845476e-06;-1.90851717e-06;3.82038159e-06
-1.04000000e-01;1.90851736e-06;-1.90860359e-06;3.81520440e-06
-1.08000000e-01;1.90860290e-06;-1.90872154e-06;3.81957164e-06
-1.12000000e-01;1.90871974e-06;-1.90888251e-06;3.81633620e-06
-1.16000000e-01;1.90887931e-06;-1.90910223e-06;3.81623943e-06
-1.20000000e-01;1.90909717e-06;-1.90940209e-06;3.81918698e-06
-1.24000000e-01;1.90939460e-06;-1.90981132e-06;3.82140693e-06
-1.28000000e-01;1.90980056e-06;-1.91036972e-06;3.82002616e-06
-1.32000000e-01;1.91035456e-06;-1.91113151e-06;3.82172318e-06
-1.36000000e-01;1.91111041e-06;-1.91217043e-06;3.82182315e-06
-1.40000000e-01;1.91214127e-06;-1.91358647e-06;3.82670833e-06
-1.44000000e-01;1.91354636e-06;-1.91551448e-06;3.82822683e-06
-1.48000000e-01;1.91545947e-06;-1.91813465e-06;3.83491554e-06
-1.52000000e-01;1.91805934e-06;-1.92168409e-06;3.84035583e-06
-1.56000000e-01;1.92158113e-06;-1.92646841e-06;3.84868482e-06
-1.60000000e-01;1.92632773e-06;-1.93287099e-06;3.85944669e-06
-1.64000000e-01;1.93267887e-06;-1.94135801e-06;3.87654608e-06
-1.68000000e-01;1.94109573e-06;-1.95247730e-06;3.89427465e-06
-1.72000000e-01;1.95211932e-06;-1.96685034e-06;3.92138740e-06
-1.76000000e-01;1.96636180e-06;-1.98515765e-06;3.95713306e-06
-1.80000000e-01;1.98449086e-06;-2.00811873e-06;3.99126637e-06
-1.84000000e-01;2.00720786e-06;-2.03646696e-06;4.04374982e-06
-1.88000000e-01;2.03521897e-06;-2.07091900e-06;4.10558969e-06
-1.92000000e-01;2.06919622e-06;-2.11213506e-06;4.18222637e-06
-1.96000000e-01;2.10972094e-06;-2.16066345e-06;4.27261538e-06
-2.00000000e-01;2.15719960e-06;-2.21686020e-06;4.37474936e-06
-2.04000000e-01;2.21174607e-06;-2.28077559e-06;4.49430107e-06
-2.08000000e-01;2.27303566e-06;-2.35200309e-06;4.62651720e-06
-2.12000000e-01;2.34015129e-06;-2.42949416e-06;4.77174345e-06
-2.16000000e-01;2.41144909e-06;-2.51135315e-06;4.92257370e-06
-2.20000000e-01;2.48446931e-06;-2.59464709e-06;5.08195354e-06
-2.24000000e-01;2.55591862e-06;-2.67529744e-06;5.23352074e-06
-2.28000000e-01;2.62176324e-06;-2.74815956e-06;5.36778587e-06
-2.32000000e-01;2.67748994e-06;-2.80741198e-06;5.48484572e-06
-2.36000000e-01;2.71858211e-06;-2.84732838e-06;5.56660925e-06
-2.40000000e-01;2.74119436e-06;-2.86336059e-06;5.60186904e-06
-2.44000000e-01;2.74289755e-06;-2.85325239e-06;5.59374523e-06
-2.48000000e-01;2.72326393e-06;-2.81775281e-06;5.54157892e-06
-2.52000000e-01;2.68405149e-06;-2.76056252e-06;5.44910070e-06
-2.56000000e-01;2.62887580e-06;-2.68746843e-06;5.31300545e-06
-2.60000000e-01;2.56247328e-06;-2.60501916e-06;5.16793317e-06
-2.64000000e-01;2.48982834e-06;-2.51927938e-06;5.00795699e-06
-2.68000000e-01;2.41544897e-06;-2.43505439e-06;4.84873005e-06
