E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.47623444e-06;-1.37651301e-06;2.85151288e-06
-4.00000000e-03;1.46658770e-06;-1.37854689e-06;2.84501586e-06
-8.00000000e-03;1.45807112e-06;-1.38034243e-06;2.83751567e-06
-1.20000000e-02;1.45055226e-06;-1.38192762e-06;2.82955722e-06
-1.60000000e-02;1.44391421e-06;-1.38332712e-06;2.82887720e-06
-2.00000000e-02;1.43805375e-06;-1.38456271e-06;2.82155703e-06
-2.40000000e-02;1.43287977e-06;-1.38565362e-06;2.81495420e-06
-2.80000000e-02;1.42831188e-06;-1.38661683e-06;2.81209635e-06
-3.20000000e-02;1.42427908e-06;-1.38746733e-06;2.80987084e-06
-3.60000000e-02;1.42071873e-06;-1.38821837e-06;2.80698269e-06
-4.00000000e-02;1.41757553e-06;-1.38888166e-06;2.80525892e-06
-4.40000000e-02;1.41480067e-06;-1.38946756e-06;2.80124467e-06
-4.80000000e-02;1.41235109e-06;-1.38998523e-06;2.80497492e-06
-5.20000000e-02;1.41018880e-06;-1.39044283e-06;2.79777378e-06
-5.60000000e-02;1.40828029e-06;-1.39084758e-06;2.80083544e-06
-6.00000000e-02;1.40659603e-06;-1.39120594e-06;2.79378323e-06
-6.40000000e-02;1.40511004e-06;-1.39152374e-06;2.79665378e-06
-6.80000000e-02;1.40379947e-06;-1.39180621e-06;2.78935730e-06
-7.20000000e-02;1.40264427e-06;-1.39205821e-06;2.79239016e-06
-7.60000000e-02;1.40162694e-06;-1.39228424e-06;2.79542440e-06
-8.00000000e-02;1.40073227e-06;-1.39248865e-06;2.79053458e-06
-8.40000000e-02;1.39994719e-06;-1.39267574e-06;2.79004241e-06
-8.80000000e-02;1.39926062e-06;-1.39284995e-06;2.79020297e-06
-9.20000000e-02;1.39866341e-06;-1.39301609e-06;2.79226376e-06
-9.60000000e-02;1.39814838e-06;-1.39317960e-06;2.79188558e-06
-1.00000000e-01;1.39771038e-06;-1.39334696e-06;2.79149003e-06
-1.04000000e-01;1.39734648e-06;-1.39352609e-06;2.79128280e-06
-1.08000000e-01;1.39705633e-06;-1.39372708e-06;2.78742524e-06
-1.12000000e-01;1.39684267e-06;-1.39396300e-06;2.78911739e-06
-1.16000000e-01;1.39671205e-06;-1.39425108e-06;2.79179007e-06
-1.20000000e-01;1.39667592e-06;-1.39461434e-06;2.79249389e-06
-1.24000000e-01;1.39675209e-06;-1.39508366e-06;2.79386148e-06
-1.28000000e-01;1.39696682e-06;-1.39570074e-06;2.79156384e-06
-1.32000000e-01;1.39735757e-06;-1.39652205e-06;2.79483597e-06
-1.36000000e-01;1.39797694e-06;-1.39762408e-06;2.79715431e-06
-1.40000000e-01;1.39889780e-06;-1.39911058e-06;2.80423274e-06
-1.44000000e-01;1.40022040e-06;-1.40112197e-06;2.80188536e-06
-1.48000000e-01;1.40208172e-06;-1.40384779e-06;2.80743424e-06
-1.52000000e-01;1.40466771e-06;-1.40754212e-06;2.81352327e-06
-1.56000000e-01;1.40822857e-06;-1.41254184e-06;2.81842585e-06
-1.60000000e-01;1.41309678e-06;-1.41928587e-06;2.83188603e-06
-1.64000000e-01;1.41970606e-06;-1.42833238e-06;2.84791232e-06
-1.68000000e-01;1.42860816e-06;-1.44036958e-06;2.87312431e-06
-1.72000000e-01;1.44048315e-06;-1.45621530e-06;2.89729023e-06
-1.76000000e-01;1.45613833e-06;-1.47680179e-06;2.93367497e-06
-1.80000000e-01;1.47649206e-06;-1.50314390e-06;2.98178294e-06
-1.84000000e-01;1.50254071e-06;-1.53629125e-06;3.03609678e-06
-1.88000000e-01;1.53530883e-06;-1.57726597e-06;3.11098377e-06
-1.92000000e-01;1.57578359e-06;-1.62698742e-06;3.20868395e-06
-1.96000000e-01;1.62483259e-06;-1.68618313e-06;3.31000432e-06
-2.00000000e-01;1.68310009e-06;-1.75528078e-06;3.43854479e-06
-2.04000000e-01;1.75087108e-06;-1.83427177e-06;3.58204005e-06
-2.08000000e-01;1.82789212e-06;-1.92253573e-06;3.75016518e-06
-2.12000000e-01;1.91315006e-06;-2.01862176e-06;3.93321820e-06
-2.16000000e-01;2.00463625e-06;-2.12000233e-06;4.12539266e-06
-2.20000000e-01;2.09915519e-06;-2.22284998e-06;4.31889587e-06
-2.24000000e-01;2.19225726e-06;-2.32193337e-06;4.51312743e-06
-2.28000000e-01;2.27837985e-06;-2.41077124e-06;4.69037091e-06
-2.32000000e-01;2.35126929e-06;-2.48218660e-06;4.83155216e-06
-2.36000000e-01;2.40471651e-06;-2.52931932e-06;4.93403126e-06
-2.40000000e-01;2.43354479e-06;-2.54696005e-06;4.97986109e-06
-2.44000000e-01;2.43464212e-06;-2.53282240e-06;4.96542202e-06
-2.48000000e-01;2.40770719e-06;-2.48823894e-06;4.89184131e-06
-2.52000000e-01;2.35539600e-06;-2.41791842e-06;4.77256081e-06
-2.56000000e-01;2.28276706e-06;-2.32882015e-06;4.60614734e-06
-2.60000000e-01;2.19622517e-06;-2.22862097e-06;4.42423957e-06
-2.64000000e-01;2.10235620e-06;-2.12436949e-06;4.23016310e-06
-2.68000000e-01;2.00701116e-06;-2.02169589e-06;4.03003412e-06
-2.72000000e-01;1.91480199e-06;-1.92460036e-06;3.83922755e-06
-2.76000000e-01;1.82897460e-06;-1.83562099e-06;3.66423559e-06
-2.80000000e-01;1.75152829e-06;-1.75614881e-06;3.50708804e-06
-2.84000000e-01;1.68344874e-06;-1.68673596e-06;3.37175123e-06
-2.88000000e-01;1.62496190e-06;-1.62733820e-06;3.25108423e-06
-2.92000000e-01;1.57575916e-06;-1.57749159e-06;3.15134865e-06
-2.96000000e-01;1.53517630e-06;-1.53644369e-06;3.07176931e-06
-3.00000000e-01;1.50232940e-06;-1.50325753e-06;3.00724868e-06
-3.04000000e-01;1.47621880e-06;-1.47689858e-06;2.95127987e-06
-3.08000000e-01;1.45581089e-06;-1.45630878e-06;2.90767426e-06
-3.12000000e-01;1.44010315e-06;-1.44046786e-06;2.88021426e-06
-3.16000000e-01;1.42817317e-06;-1.42844041e-06;2.85672572e-06
-3.20000000e-01;1.41921098e-06;-1.41940694e-06;2.84013160e-06
-3.24000000e-01;1.41253464e-06;-1.41267850e-06;2.82693903e-06
-3.28000000e-01;1.40759092e-06;-1.40769673e-06;2.81427087e-06
-3.32000000e-01;1.40394476e-06;-1.40402280e-06;2.80885266e-06
-3.36000000e-01;1.40126230e-06;-1.40132009e-06;2.80734502e-06
-3.40000000e-01;1.39929180e-06;-1.39933484e-06;2.79729630e-06
-3.44000000e-01;1.39784561e-06;-1.39787792e-06;2.79654951e-06
-3.48000000e-01;1.39678485e-06;-1.39680935e-06;2.79456715e-06
-3.52000000e-01;1.39600708e-06;-1.39602592e-06;2.78992973e-06
-3.56000000e-01;1.39543697e-06;-1.39545169e-06;2.79129703e-06
-3.60000000e-01;1.39501915e-06;-1.39503088e-06;2.79058171e-06
-3.64000000e-01;1.39471299e-06;-1.39472255e-06;2.79048566e-06
-3.68000000e-01;1.39448867e-06;-1.39449663e-06;2.78801628e-06
-3.72000000e-01;1.39432432e-06;-1.39433111e-06;2.78892465e-06
-3.76000000e-01;1.39420393e-06;-1.39420983e-06;2.79120423e-06
-3.80000000e-01;1.39411574e-06;-1.39412096e-06;2.78326468e-06
-3.84000000e-01;1.39405114e-06;-1.39405583e-06;2.78823076e-06
-3.88000000e-01;1.39400383e-06;-1.39400807e-06;2.79056001e-06
-3.92000000e-01;1.39396919e-06;-1.39397304e-06;2.78863488e-06
-3.96000000e-01;1.39394383e-06;-1.39394733e-06;2.78918093e-06
-4.00000000e-01;1.39392527e-06;-1.39392844e-06;2.78703759e-06
-4.04000000e-01;1.39391169e-06;-1.39391455e-06;2.78745219e-06
-4.08000000e-01;1.39390177e-06;-1.39390431e-06;2.79082580e-06
-4.12000000e-01;1.39389452e-06;-1.39389676e-06;2.78722106e-06
-4.16000000e-01;1.39388922e-06;-1.39389117e-06;2.78887503e-06
-4.20000000e-01;1.39388536e-06;-1.39388703e-06;2.78478118e-06
-4.24000000e-01;1.39388255e-06;-1.39388395e-06;2.78666726e-06
-4.28000000e-01;1.39388050e-06;-1.39388166e-06;2.78296191e-06
-4.32000000e-01;1.39387902e-06;-1.39387995e-06;2.78769531e-06
-4.36000000e-01;1.39387794e-06;-1.39387867e-06;2.78570682e-06
-4.40000000e-01;1.39387715e-06;-1.39387771e-06;2.78591117e-06
-4.44000000e-01;1.39387658e-06;-1.39387699e-06;2.78543827e-06
-4.48000000e-01;1.39387617e-06;-1.39387646e-06;2.79077951e-06
-4.52000000e-01;1.39387587e-06;-1.39387606e-06;2.78999953e-06
-4.56000000e-01;1.39387565e-06;-1.39387577e-06;2.78777897e-06
-4.60000000e-01;1.39387549e-06;-1.39387555e-06;2.78576658e-06
-4.64000000e-01;1.39387537e-06;-1.39387540e-06;2.78775832e-06
-4.68000000e-01;1.39387528e-06;-1.39387528e-06;2.78371015e-06
-4.72000000e-01;1.39387521e-06;-1.39387520e-06;2.78745443e-06
-4.76000000e-01;1.39387516e-06;-1.39387514e-06;2.78604973e-06
-4.80000000e-01;1.39387512e-06;-1.39387510e-06;2.78772167e-06
-4.84000000e-01;1.39387510e-06;-1.39387507e-06;2.78977070e-06
-4.88000000e-01;1.39387507e-06;-1.39387505e-06;2.78652168e-06
-4.92000000e-01;1.39387506e-06;-1.39387504e-06;2.78921923e-06
-4.96000000e-01;1.39387505e-06;-1.39387503e-06;2.78720418e-06
