E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;6.29022773e-07;-6.04098615e-07;1.23401140e-06
-4.00000000e-03;6.26612039e-07;-6.04606763e-07;1.23412231e-06
-8.00000000e-03;6.24483612e-07;-6.05055407e-07;1.22746430e-06
-1.20000000e-02;6.22604453e-07;-6.05451518e-07;1.22794685e-06
-1.60000000e-02;6.20945372e-07;-6.05801250e-07;1.22828778e-06
-2.00000000e-02;6.19480600e-07;-6.06110040e-07;1.22692665e-06
-2.40000000e-02;6.18187383e-07;-6.06382687e-07;1.22632829e-06
-2.80000000e-02;6.17045636e-07;-6.06623431e-07;1.22392411e-06
-3.20000000e-02;6.16037628e-07;-6.06836019e-07;1.22438852e-06
-3.60000000e-02;6.15147707e-07;-6.07023761e-07;1.22518603e-06
-4.00000000e-02;6.14362055e-07;-6.07189587e-07;1.22272310e-06
-4.40000000e-02;6.13668482e-07;-6.07336087e-07;1.22267032e-06
-4.80000000e-02;6.13056229e-07;-6.07465561e-07;1.21972249e-06
-5.20000000e-02;6.12515806e-07;-6.07580050e-07;1.21765787e-06
-5.60000000e-02;6.12038849e-07;-6.07681373e-07;1.21940468e-06
-6.00000000e-02;6.11617990e-07;-6.07771161e-07;1.21931376e-06
-6.40000000e-02;6.11246746e-07;-6.07850886e-07;1.22055496e-06
-6.80000000e-02;6.10919428e-07;-6.07921891e-07;1.21837651e-06
-7.20000000e-02;6.10631055e-07;-6.07985424e-07;1.21875839e-06
-7.60000000e-02;6.10377290e-07;-6.08042666e-07;1.21850003e-06
-8.00000000e-02;6.10154385e-07;-6.08094775e-07;1.22036198e-06
-8.40000000e-02;6.09959143e-07;-6.08142925e-07;1.21847832e-06
-8.80000000e-02;6.09788894e-07;-6.08188364e-07;1.21765921e-06
-9.20000000e-02;6.09641488e-07;-6.08232477e-07;1.21807443e-06
-9.60000000e-02;6.09515311e-07;-6.08276881e-07;1.21825230e-06
-1.00000000e-01;6.09409325e-07;-6.08323533e-07;1.21901461e-06
-1.04000000e-01;6.09323143e-07;-6.08374889e-07;1.21698424e-06
-1.08000000e-01;6.09257145e-07;-6.08434113e-07;1.21990217e-06
-1.12000000e-01;6.09212651e-07;-6.08505347e-07;1.21908207e-06
-1.16000000e-01;6.09192171e-07;-6.08594101e-07;1.21871927e-06
-1.20000000e-01;6.09199754e-07;-6.08707754e-07;1.21899052e-06
-1.24000000e-01;6.09241473e-07;-6.08856255e-07;1.21803659e-06
-1.28000000e-01;6.09326097e-07;-6.09053063e-07;1.21680214e-06
-1.32000000e-01;6.09466009e-07;-6.09316424e-07;1.21825450e-06
-1.36000000e-01;6.09678452e-07;-6.09671094e-07;1.21852840e-06
-1.40000000e-01;6.09987233e-07;-6.10150661e-07;1.22141403e-06
