E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.16696822e-06;-1.14702901e-06;2.31127817e-06
-4.00000000e-03;1.16503975e-06;-1.14743557e-06;2.31205519e-06
-8.00000000e-03;1.16333705e-06;-1.14779454e-06;2.31223841e-06
-1.20000000e-02;1.16183377e-06;-1.14811151e-06;2.31113807e-06
-1.60000000e-02;1.16050659e-06;-1.14839140e-06;2.30756357e-06
-2.00000000e-02;1.15933488e-06;-1.14863858e-06;2.30881532e-06
-2.40000000e-02;1.15830045e-06;-1.14885689e-06;2.30780920e-06
-2.80000000e-02;1.15738725e-06;-1.14904976e-06;2.30661922e-06
-3.20000000e-02;1.15658111e-06;-1.14922020e-06;2.30617024e-06
-3.60000000e-02;1.15586954e-06;-1.14937090e-06;2.30302182e-06
-4.00000000e-02;1.15524153e-06;-1.14950426e-06;2.30452085e-06
-4.40000000e-02;1.15468735e-06;-1.14962240e-06;2.30394955e-06
-4.80000000e-02;1.15419849e-06;-1.14972727e-06;2.30656937e-06
-5.20000000e-02;1.15376743e-06;-1.14982063e-06;2.30374077e-06
-5.60000000e-02;1.15338762e-06;-1.14990409e-06;2.29924752e-06
-6.00000000e-02;1.15305332e-06;-1.14997921e-06;2.30499566e-06
-6.40000000e-02;1.15275958e-06;-1.15004748e-06;2.30559133e-06
-6.80000000e-02;1.15250218e-06;-1.15011041e-06;2.30255412e-06
-7.20000000e-02;1.15227756e-06;-1.15016960e-06;2.30530483e-06
-7.60000000e-02;1.15208285e-06;-1.15022681e-06;2.30381283e-06
-8.00000000e-02;1.15191586e-06;-1.15028409e-06;2.30237582e-06
-8.40000000e-02;1.15177514e-06;-1.15034389e-06;2.29944076e-06
-8.80000000e-02;1.15166006e-06;-1.15040930e-06;2.30033071e-06
-9.20000000e-02;1.15157097e-06;-1.15048427e-06;2.30209060e-06
-9.60000000e-02;1.15150941e-06;-1.15057396e-06;2.30245640e-06
-1.00000000e-01;1.15147837e-06;-1.15068523e-06;2.30221870e-06
-1.04000000e-01;1.15148281e-06;-1.15082727e-06;2.30073414e-06
-1.08000000e-01;1.15153020e-06;-1.15101247e-06;2.30073091e-06
-1.12000000e-01;1.15163138e-06;-1.15125761e-06;2.30355667e-06
-1.16000000e-01;1.15180171e-06;-1.15158543e-06;2.30573904e-06
-1.20000000e-01;1.15206265e-06;-1.15202690e-06;2.30508111e-06
-1.24000000e-01;1.15244390e-06;-1.15262412e-06;2.30411651e-06
-1.28000000e-01;1.15298637e-06;-1.15343440e-06;2.30759368e-06
-1.32000000e-01;1.15374616e-06;-1.15453577e-06;2.30886618e-06
-1.36000000e-01;1.15480000e-06;-1.15603433e-06;2.31043819e-06
-1.40000000e-01;1.15625257e-06;-1.15807427e-06;2.31567973e-06
-1.44000000e-01;1.15824642e-06;-1.16085110e-06;2.31757783e-06
-1.48000000e-01;1.16097506e-06;-1.16462891e-06;2.32501214e-06
-1.52000000e-01;1.16470008e-06;-1.16976199e-06;2.33529659e-06
-1.56000000e-01;1.16977259e-06;-1.17672025e-06;2.34610724e-06
-1.60000000e-01;1.17665829e-06;-1.18611608e-06;2.36735646e-06
-1.64000000e-01;1.18596403e-06;-1.19872842e-06;2.38690572e-06
-1.68000000e-01;1.19846132e-06;-1.21551774e-06;2.41631069e-06
-1.72000000e-01;1.21510062e-06;-1.23762553e-06;2.45404454e-06
-1.76000000e-01;1.23700989e-06;-1.26635300e-06;2.50339737e-06
-1.80000000e-01;1.26547201e-06;-1.30311673e-06;2.56703171e-06
-1.84000000e-01;1.30187867e-06;-1.34938184e-06;2.65073570e-06
-1.88000000e-01;1.34766083e-06;-1.40657508e-06;2.75360491e-06
-1.92000000e-01;1.40419715e-06;-1.47597979e-06;2.87744042e-06
-1.96000000e-01;1.47269933e-06;-1.55861150e-06;3.03379207e-06
-2.00000000e-01;1.55406723e-06;-1.65506713e-06;3.21028398e-06
-2.04000000e-01;1.64869909e-06;-1.76533462e-06;3.41164348e-06
-2.08000000e-01;1.75624146e-06;-1.88854783e-06;3.64523954e-06
-2.12000000e-01;1.87528028e-06;-2.02268124e-06;3.89912653e-06
-2.16000000e-01;2.00301173e-06;-2.16420632e-06;4.16787112e-06
-2.20000000e-01;2.13497510e-06;-2.30777985e-06;4.44236679e-06
-2.24000000e-01;2.26495888e-06;-2.44609877e-06;4.71144536e-06
-2.28000000e-01;2.38519780e-06;-2.57011512e-06;4.95582733e-06
-2.32000000e-01;2.48696184e-06;-2.66980971e-06;5.15602583e-06
-2.36000000e-01;2.56158320e-06;-2.73560568e-06;5.29692685e-06
-2.40000000e-01;2.60183526e-06;-2.76023071e-06;5.36117019e-06
-2.44000000e-01;2.60337371e-06;-2.74049294e-06;5.34134505e-06
-2.48000000e-01;2.56577806e-06;-2.67825262e-06;5.24637338e-06
-2.52000000e-01;2.49275618e-06;-2.58008322e-06;5.07240619e-06
-2.56000000e-01;2.39136990e-06;-2.45569998e-06;4.84587578e-06
-2.60000000e-01;2.27056046e-06;-2.31581985e-06;4.58420173e-06
-2.64000000e-01;2.13952186e-06;-2.17028276e-06;4.30708197e-06
-2.68000000e-01;2.00642224e-06;-2.02694850e-06;4.03370572e-06
-2.72000000e-01;1.87769996e-06;-1.89140134e-06;3.76953548e-06
-2.76000000e-01;1.75788641e-06;-1.76718451e-06;3.52420039e-06
-2.80000000e-01;1.64977267e-06;-1.65623986e-06;3.30693990e-06
-2.84000000e-01;1.55473477e-06;-1.55933821e-06;3.11533007e-06
-2.88000000e-01;1.47308819e-06;-1.47641779e-06;2.94771122e-06
-2.92000000e-01;1.40440213e-06;-1.40683091e-06;2.81185861e-06
-2.96000000e-01;1.34774934e-06;-1.34952716e-06;2.69945805e-06
-3.00000000e-01;1.30189590e-06;-1.30319853e-06;2.60459346e-06
-3.04000000e-01;1.26544627e-06;-1.26640078e-06;2.53389970e-06
-3.08000000e-01;1.23695755e-06;-1.23765684e-06;2.47205236e-06
-3.12000000e-01;1.21503021e-06;-1.21554242e-06;2.43288697e-06
-3.16000000e-01;1.19837658e-06;-1.19875168e-06;2.39663862e-06
-3.20000000e-01;1.18586593e-06;-1.18614057e-06;2.37468161e-06
-3.24000000e-01;1.17654628e-06;-1.17674733e-06;2.35225862e-06
-3.28000000e-01;1.16964533e-06;-1.16979248e-06;2.33818365e-06
-3.32000000e-01;1.16455573e-06;-1.16466341e-06;2.32741593e-06
-3.36000000e-01;1.16081141e-06;-1.16089019e-06;2.32128736e-06
-3.40000000e-01;1.15806095e-06;-1.15811856e-06;2.31480451e-06
-3.44000000e-01;1.15604239e-06;-1.15608451e-06;2.31528725e-06
-3.48000000e-01;1.15456184e-06;-1.15459263e-06;2.30824739e-06
-3.52000000e-01;1.15347634e-06;-1.15349883e-06;2.30653361e-06
-3.56000000e-01;1.15268068e-06;-1.15269710e-06;2.30459271e-06
-3.60000000e-01;1.15209760e-06;-1.15210958e-06;2.30395744e-06
-3.64000000e-01;1.15167036e-06;-1.15167909e-06;2.30091234e-06
-3.68000000e-01;1.15135734e-06;-1.15136370e-06;2.30668111e-06
-3.72000000e-01;1.15112802e-06;-1.15113265e-06;2.29981757e-06
-3.76000000e-01;1.15096003e-06;-1.15096340e-06;2.30244188e-06
-3.80000000e-01;1.15083698e-06;-1.15083942e-06;2.30175852e-06
-3.84000000e-01;1.15074684e-06;-1.15074860e-06;2.30059197e-06
-3.88000000e-01;1.15068081e-06;-1.15068208e-06;2.30559472e-06
-3.92000000e-01;1.15063245e-06;-1.15063336e-06;2.30038491e-06
-3.96000000e-01;1.15059702e-06;-1.15059768e-06;2.30100275e-06
-4.00000000e-01;1.15057107e-06;-1.15057154e-06;2.29731831e-06
-4.04000000e-01;1.15055207e-06;-1.15055240e-06;2.30093359e-06
-4.08000000e-01;1.15053814e-06;-1.15053838e-06;2.30092561e-06
-4.12000000e-01;1.15052795e-06;-1.15052811e-06;2.29896736e-06
-4.16000000e-01;1.15052047e-06;-1.15052058e-06;2.29962257e-06
-4.20000000e-01;1.15051500e-06;-1.15051508e-06;2.30092658e-06
-4.24000000e-01;1.15051099e-06;-1.15051104e-06;2.30166133e-06
-4.28000000e-01;1.15050806e-06;-1.15050809e-06;2.30048463e-06
-4.32000000e-01;1.15050590e-06;-1.15050592e-06;2.30156171e-06
-4.36000000e-01;1.15050433e-06;-1.15050434e-06;2.30151110e-06
-4.40000000e-01;1.15050317e-06;-1.15050318e-06;2.29915150e-06
-4.44000000e-01;1.15050233e-06;-1.15050232e-06;2.29945492e-06
-4.48000000e-01;1.15050171e-06;-1.15050170e-06;2.30413771e-06
-4.52000000e-01;1.15050125e-06;-1.15050125e-06;2.30069394e-06
-4.56000000e-01;1.15050092e-06;-1.15050091e-06;2.30400333e-06
-4.60000000e-01;1.15050067e-06;-1.15050067e-06;2.30157645e-06
-4.64000000e-01;1.15050050e-06;-1.15050049e-06;2.30380884e-06
-4.68000000e-01;1.15050036e-06;-1.15050036e-06;2.30046218e-06
-4.72000000e-01;1.15050027e-06;-1.15050026e-06;2.29921138e-06
-4.76000000e-01;1.15050020e-06;-1.15050019e-06;2.30137835e-06
-4.80000000e-01;1.15050015e-06;-1.15050014e-06;2.29851395e-06
-4.84000000e-01;1.15050011e-06;-1.15050010e-06;2.30148546e-06
-4.88000000e-01;1.15050008e-06;-1.15050007e-06;2.30137790e-06
-4.92000000e-01;1.15050006e-06;-1.15050005e-06;2.30240856e-06
-4.96000000e-01;1.15050004e-06;-1.15050004e-06;2.29899807e-06
