E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;7.38117222e-07;-6.88256507e-07;1.42676811e-06
-4.00000000e-03;7.33293852e-07;-6.89273443e-07;1.42289771e-06
-8.00000000e-03;7.29035559e-07;-6.90171217e-07;1.42038563e-06
-1.20000000e-02;7.25276132e-07;-6.90963810e-07;1.41587408e-06
-1.60000000e-02;7.21957105e-07;-6.91663559e-07;1.41223732e-06
-2.00000000e-02;7.19026873e-07;-6.92281355e-07;1.41079363e-06
-2.40000000e-02;7.16439886e-07;-6.92826811e-07;1.40933419e-06
-2.80000000e-02;7.14155939e-07;-6.93308415e-07;1.40774546e-06
-3.20000000e-02;7.12139541e-07;-6.93733666e-07;1.40555996e-06
-3.60000000e-02;7.10359367e-07;-6.94109186e-07;1.40577050e-06
-4.00000000e-02;7.08787766e-07;-6.94440830e-07;1.40569703e-06
-4.40000000e-02;7.07400337e-07;-6.94733778e-07;1.40373263e-06
-4.80000000e-02;7.06175547e-07;-6.94992616e-07;1.40066667e-06
-5.20000000e-02;7.05094400e-07;-6.95221413e-07;1.40043379e-06
-5.60000000e-02;7.04140144e-07;-6.95423788e-07;1.40013160e-06
-6.00000000e-02;7.03298017e-07;-6.95602972e-07;1.39929872e-06
-6.40000000e-02;7.02555022e-07;-6.95761868e-07;1.39662678e-06
-6.80000000e-02;7.01899735e-07;-6.95903107e-07;1.39548925e-06
-7.20000000e-02;7.01322135e-07;-6.96029105e-07;1.39750635e-06
-7.60000000e-02;7.00813469e-07;-6.96142122e-07;1.39929975e-06
-8.00000000e-02;7.00366135e-07;-6.96244326e-07;1.39705507e-06
-8.40000000e-02;6.99973595e-07;-6.96337869e-07;1.39769869e-06
-8.80000000e-02;6.99630308e-07;-6.96424973e-07;1.39638216e-06
-9.20000000e-02;6.99331705e-07;-6.96508043e-07;1.39601473e-06
-9.60000000e-02;6.99074192e-07;-6.96589802e-07;1.39409001e-06
-1.00000000e-01;6.98855189e-07;-6.96673479e-07;1.39761497e-06
-1.04000000e-01;6.98673239e-07;-6.96763046e-07;1.39417736e-06
-1.08000000e-01;6.98528166e-07;-6.96863539e-07;1.39599167e-06
-1.12000000e-01;6.98421335e-07;-6.96981498e-07;1.39567530e-06
-1.16000000e-01;6.98356025e-07;-6.97125542e-07;1.39346116e-06
-1.20000000e-01;6.98337960e-07;-6.97307170e-07;1.39638915e-06
-1.24000000e-01;6.98376047e-07;-6.97541830e-07;1.39463175e-06
-1.28000000e-01;6.98483409e-07;-6.97850373e-07;1.39833739e-06
-1.32000000e-01;6.98678787e-07;-6.98261024e-07;1.39823318e-06
-1.36000000e-01;6.98988470e-07;-6.98812045e-07;1.39742028e-06
-1.40000000e-01;6.99448905e-07;-6.99555319e-07;1.39846062e-06
-1.44000000e-01;7.00110233e-07;-7.00561154e-07;1.40047369e-06
-1.48000000e-01;7.01041030e-07;-7.01924664e-07;1.40414719e-06
-1.52000000e-01;7.02334623e-07;-7.03774118e-07;1.40602152e-06
-1.56000000e-01;7.04117342e-07;-7.06281537e-07;1.41369996e-06
-1.60000000e-01;7.06559009e-07;-7.09675481e-07;1.41421781e-06
-1.64000000e-01;7.09885576e-07;-7.14255144e-07;1.42459341e-06
-1.68000000e-01;7.14393033e-07;-7.20403640e-07;1.43821016e-06
-1.72000000e-01;7.20460425e-07;-7.28596833e-07;1.44557234e-06
-1.76000000e-01;7.28558347e-07;-7.39403024e-07;1.46722839e-06
-1.80000000e-01;7.39248168e-07;-7.53468774e-07;1.49340502e-06
-1.84000000e-01;7.53167229e-07;-7.71487492e-07;1.52180601e-06
-1.88000000e-01;7.70996606e-07;-7.94149830e-07;1.56693561e-06
-1.92000000e-01;7.93410357e-07;-8.22077554e-07;1.61242649e-06
-1.96000000e-01;8.21007703e-07;-8.55744522e-07;1.67687864e-06
-2.00000000e-01;8.54231099e-07;-8.95389162e-07;1.74920947e-06
-2.04000000e-01;8.93273009e-07;-9.40922263e-07;1.83270623e-06
-2.08000000e-01;9.37972392e-07;-9.91832252e-07;1.93376734e-06
-2.12000000e-01;9.87700784e-07;-1.04708914e-06;2.03311336e-06
-2.16000000e-01;1.04124237e-06;-1.10505144e-06;2.14962421e-06
-2.20000000e-01;1.09668753e-06;-1.16339279e-06;2.26134616e-06
-2.24000000e-01;1.15138311e-06;-1.21908850e-06;2.37338903e-06
-2.28000000e-01;1.20200289e-06;-1.26852921e-06;2.47060966e-06
-2.32000000e-01;1.24479985e-06;-1.30783507e-06;2.55135542e-06
-2.36000000e-01;1.27606508e-06;-1.33339779e-06;2.60920888e-06
-2.40000000e-01;1.29274190e-06;-1.34256854e-06;2.63790285e-06
-2.44000000e-01;1.29304877e-06;-1.33428235e-06;2.62458414e-06
-2.48000000e-01;1.27690100e-06;-1.30935890e-06;2.58699385e-06
-2.52000000e-01;1.24595406e-06;-1.27032445e-06;2.51791088e-06
-2.56000000e-01;1.20323531e-06;-1.22082135e-06;2.42421064e-06
-2.60000000e-01;1.15250850e-06;-1.16485912e-06;2.31581877e-06
-2.64000000e-01;1.09760710e-06;-1.10618362e-06;2.20540184e-06
-2.68000000e-01;1.04193031e-06;-1.04790917e-06;2.09100226e-06
-2.72000000e-01;9.88174787e-07;-9.92399498e-07;1.98254832e-06
-2.76000000e-01;9.38269065e-07;-9.41300695e-07;1.88140695e-06
-2.80000000e-01;8.93433005e-07;-8.95634137e-07;1.78737945e-06
-2.84000000e-01;8.54291334e-07;-8.55899915e-07;1.70968169e-06
-2.88000000e-01;8.20997761e-07;-8.22176353e-07;1.64236765e-06
-2.92000000e-01;7.93351569e-07;-7.94215582e-07;1.58650200e-06
-2.96000000e-01;7.70902795e-07;-7.71536066e-07;1.54209549e-06
-3.00000000e-01;7.53046248e-07;-7.53510243e-07;1.50542045e-06
-3.04000000e-01;7.39103562e-07;-7.39443443e-07;1.48162582e-06
-3.08000000e-01;7.28390780e-07;-7.28639721e-07;1.45883473e-06
-3.12000000e-01;7.20268721e-07;-7.20451072e-07;1.44058828e-06
