E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;6.29022772e-07;-6.04098651e-07;1.23383474e-06
-4.00000000e-03;6.26612074e-07;-6.04606812e-07;1.23294715e-06
-8.00000000e-03;6.24483660e-07;-6.05055474e-07;1.22983770e-06
-1.20000000e-02;6.22604519e-07;-6.05451609e-07;1.22615692e-06
-1.60000000e-02;6.20945462e-07;-6.05801374e-07;1.22689704e-06
-2.00000000e-02;6.19480723e-07;-6.06110209e-07;1.22572723e-06
-2.40000000e-02;6.18187551e-07;-6.06382918e-07;1.22383546e-06
-2.80000000e-02;6.17045866e-07;-6.06623746e-07;1.22162230e-06
-3.20000000e-02;6.16037941e-07;-6.06836449e-07;1.22278662e-06
-3.60000000e-02;6.15148134e-07;-6.07024349e-07;1.21977719e-06
-4.00000000e-02;6.14362639e-07;-6.07190389e-07;1.22134306e-06
-4.40000000e-02;6.13669279e-07;-6.07337184e-07;1.22098632e-06
-4.80000000e-02;6.13057316e-07;-6.07467058e-07;1.22357276e-06
-5.20000000e-02;6.12517291e-07;-6.07582093e-07;1.22146801e-06
-5.60000000e-02;6.12040877e-07;-6.07684163e-07;1.22083809e-06
-6.00000000e-02;6.11620758e-07;-6.07774970e-07;1.22002382e-06
-6.40000000e-02;6.11250526e-07;-6.07856087e-07;1.21881482e-06
-6.80000000e-02;6.10924589e-07;-6.07928992e-07;1.21849966e-06
-7.20000000e-02;6.10638102e-07;-6.07995118e-07;1.21795092e-06
-7.60000000e-02;6.10386910e-07;-6.08055902e-07;1.21946292e-06
-8.00000000e-02;6.10167520e-07;-6.08112846e-07;1.22002826e-06
-8.40000000e-02;6.09977076e-07;-6.08167597e-07;1.21774934e-06
-8.80000000e-02;6.09813379e-07;-6.08222049e-07;1.21792567e-06
-9.20000000e-02;6.09674917e-07;-6.08278468e-07;1.21886241e-06
-9.60000000e-02;6.09560951e-07;-6.08339671e-07;1.21972148e-06
-1.00000000e-01;6.09471637e-07;-6.08409259e-07;1.21979169e-06
-1.04000000e-01;6.09408217e-07;-6.08491928e-07;1.22065243e-06
