E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.16696822e-06;-1.14702893e-06;2.31410756e-06
-4.00000000e-03;1.16503967e-06;-1.14743547e-06;2.31266481e-06
-8.00000000e-03;1.16333695e-06;-1.14779440e-06;2.31496436e-06
-1.20000000e-02;1.16183364e-06;-1.14811132e-06;2.31140830e-06
-1.60000000e-02;1.16050640e-06;-1.14839115e-06;2.30666648e-06
-2.00000000e-02;1.15933463e-06;-1.14863823e-06;2.30893007e-06
-2.40000000e-02;1.15830011e-06;-1.14885642e-06;2.30891157e-06
-2.80000000e-02;1.15738678e-06;-1.14904912e-06;2.30561534e-06
-3.20000000e-02;1.15658047e-06;-1.14921933e-06;2.30580611e-06
-3.60000000e-02;1.15586867e-06;-1.14936971e-06;2.30594114e-06
-4.00000000e-02;1.15524034e-06;-1.14950262e-06;2.30224435e-06
-4.40000000e-02;1.15468573e-06;-1.14962017e-06;2.30055530e-06
-4.80000000e-02;1.15419628e-06;-1.14972423e-06;2.30501169e-06
-5.20000000e-02;1.15376441e-06;-1.14981647e-06;2.30253704e-06
-5.60000000e-02;1.15338349e-06;-1.14989841e-06;2.30263947e-06
-6.00000000e-02;1.15304768e-06;-1.14997145e-06;2.30049128e-06
-6.40000000e-02;1.15275189e-06;-1.15003689e-06;2.30032160e-06
-6.80000000e-02;1.15249167e-06;-1.15009595e-06;2.30064429e-06
-7.20000000e-02;1.15226321e-06;-1.15014985e-06;2.29983580e-06
-7.60000000e-02;1.15206326e-06;-1.15019986e-06;2.30002953e-06
-8.00000000e-02;1.15188911e-06;-1.15024729e-06;2.30271893e-06
-8.40000000e-02;1.15173862e-06;-1.15029365e-06;2.30138222e-06
-8.80000000e-02;1.15161020e-06;-1.15034071e-06;2.30345146e-06
-9.20000000e-02;1.15150290e-06;-1.15039061e-06;2.30336268e-06
-9.60000000e-02;1.15141646e-06;-1.15044609e-06;2.30037091e-06
-1.00000000e-01;1.15135148e-06;-1.15051066e-06;2.30265550e-06
-1.04000000e-01;1.15130957e-06;-1.15058894e-06;2.30142394e-06
-1.08000000e-01;1.15129369e-06;-1.15068709e-06;2.30252106e-06
-1.12000000e-01;1.15130848e-06;-1.15081340e-06;2.29690678e-06
-1.16000000e-01;1.15136089e-06;-1.15097902e-06;2.30080670e-06
-1.20000000e-01;1.15146085e-06;-1.15119909e-06;2.30460689e-06
-1.24000000e-01;1.15162239e-06;-1.15149415e-06;2.30327798e-06
-1.28000000e-01;1.15186501e-06;-1.15189212e-06;2.30510541e-06
-1.32000000e-01;1.15221562e-06;-1.15243095e-06;2.30699758e-06
-1.36000000e-01;1.15271122e-06;-1.15316225e-06;2.30788908e-06
-1.40000000e-01;1.15340239e-06;-1.15415611e-06;2.30736820e-06
-1.44000000e-01;1.15435815e-06;-1.15550753e-06;2.30998010e-06
-1.48000000e-01;1.15567229e-06;-1.15734482e-06;2.31202216e-06
-1.52000000e-01;1.15747170e-06;-1.15984012e-06;2.31783034e-06
-1.56000000e-01;1.15992677e-06;-1.16322168e-06;2.32236162e-06
-1.60000000e-01;1.16326354e-06;-1.16778700e-06;2.33384798e-06
-1.64000000e-01;1.16777667e-06;-1.17391442e-06;2.34198829e-06
-1.68000000e-01;1.17384078e-06;-1.18207050e-06;2.35870745e-06
-1.72000000e-01;1.18191742e-06;-1.19280969e-06;2.37691131e-06
-1.76000000e-01;1.19255439e-06;-1.20676402e-06;2.39911573e-06
-1.80000000e-01;1.20637471e-06;-1.22462156e-06;2.42742961e-06
-1.84000000e-01;1.22405429e-06;-1.24709395e-06;2.47358374e-06
-1.88000000e-01;1.24628812e-06;-1.27487421e-06;2.51664557e-06
-1.92000000e-01;1.27374577e-06;-1.30858566e-06;2.58460371e-06
-1.96000000e-01;1.30701575e-06;-1.34872159e-06;2.65077475e-06
-2.00000000e-01;1.34653509e-06;-1.39557194e-06;2.74088677e-06
-2.04000000e-01;1.39249718e-06;-1.44913085e-06;2.84352774e-06
-2.08000000e-01;1.44473031e-06;-1.50897763e-06;2.95500312e-06
-2.12000000e-01;1.50254764e-06;-1.57412846e-06;3.07410567e-06
-2.16000000e-01;1.56458728e-06;-1.64286950e-06;3.20561370e-06
-2.20000000e-01;1.62868259e-06;-1.71260547e-06;3.34044141e-06
-2.24000000e-01;1.69181652e-06;-1.77978916e-06;3.47068030e-06
-2.28000000e-01;1.75021735e-06;-1.84002587e-06;3.59212681e-06
-2.32000000e-01;1.79964478e-06;-1.88844913e-06;3.68594678e-06
-2.36000000e-01;1.83588872e-06;-1.92040733e-06;3.75873376e-06
-2.40000000e-01;1.85543908e-06;-1.93236819e-06;3.78719762e-06
-2.44000000e-01;1.85618577e-06;-1.92278139e-06;3.78166633e-06
-2.48000000e-01;1.83792452e-06;-1.89255048e-06;3.73137631e-06
-2.52000000e-01;1.80245631e-06;-1.84486829e-06;3.64769275e-06
-2.56000000e-01;1.75321116e-06;-1.78445366e-06;3.53674703e-06
-2.60000000e-01;1.69453195e-06;-1.71651195e-06;3.41300962e-06
-2.64000000e-01;1.63088432e-06;-1.64582258e-06;3.27859158e-06
-2.68000000e-01;1.56623567e-06;-1.57620313e-06;3.14459838e-06
