E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.27223338e-06;-1.27217152e-06;2.54255030e-06
-4.00000000e-03;1.27222401e-06;-1.27217478e-06;2.54370918e-06
-8.00000000e-03;1.27221687e-06;-1.27217727e-06;2.54680900e-06
-1.20000000e-02;1.27221140e-06;-1.27217923e-06;2.54475432e-06
-1.60000000e-02;1.27220716e-06;-1.27218078e-06;2.54611337e-06
-2.00000000e-02;1.27220385e-06;-1.27218204e-06;2.54546797e-06
-2.40000000e-02;1.27220126e-06;-1.27218310e-06;2.54319099e-06
-2.80000000e-02;1.27219923e-06;-1.27218401e-06;2.54539941e-06
-3.20000000e-02;1.27219765e-06;-1.27218484e-06;2.54378888e-06
-3.60000000e-02;1.27219645e-06;-1.27218564e-06;2.54377761e-06
-4.00000000e-02;1.27219558e-06;-1.27218645e-06;2.54456421e-06
-4.40000000e-02;1.27219500e-06;-1.27218734e-06;2.54152122e-06
-4.80000000e-02;1.27219474e-06;-1.27218836e-06;2.54661841e-06
-5.20000000e-02;1.27219479e-06;-1.27218962e-06;2.54312611e-06
-5.60000000e-02;1.27219522e-06;-1.27219120e-06;2.54626192e-06
-6.00000000e-02;1.27219610e-06;-1.27219325e-06;2.54464495e-06
-6.40000000e-02;1.27219754e-06;-1.27219597e-06;2.54726607e-06
-6.80000000e-02;1.27219972e-06;-1.27219959e-06;2.54316187e-06
-7.20000000e-02;1.27220288e-06;-1.27220448e-06;2.54382274e-06
-7.60000000e-02;1.27220735e-06;-1.27221109e-06;2.54505175e-06
-8.00000000e-02;1.27221357e-06;-1.27222007e-06;2.54029464e-06
-8.40000000e-02;1.27222219e-06;-1.27223229e-06;2.54600683e-06
-8.80000000e-02;1.27223406e-06;-1.27224893e-06;2.54737354e-06
-9.20000000e-02;1.27225034e-06;-1.27227162e-06;2.54663472e-06
-9.60000000e-02;1.27227265e-06;-1.27230256e-06;2.54599040e-06
-1.00000000e-01;1.27230317e-06;-1.27234478e-06;2.54437425e-06
-1.04000000e-01;1.27234491e-06;-1.27240239e-06;2.54715087e-06
-1.08000000e-01;1.27240193e-06;-1.27248102e-06;2.54689676e-06
-1.12000000e-01;1.27247983e-06;-1.27258834e-06;2.54580433e-06
-1.16000000e-01;1.27258620e-06;-1.27273482e-06;2.54533061e-06
