run_id;RF;Ni_pct;Cu_pct;contamination;frequency;R_u;k0_eff;Gamma_eff;Au_fraction;I_peak_nA;E_peak_V;FWHM_mV;I_baseline_uA;sigma_baseline_nA;SNR;R2_gaussian;baseline_ratio_pct;IR_drop_mV;K_dimensionless;status;output_dir;swv_png;components_png;baseline_png;data_csv
53;2.0;5;0;0;200;0;37.04;7.60e-08;0.950;4235.9876;-0.2480;64.00;19.4784;6.05;700.1;0.9950;82.1;0.00;0.19;OK;053_RF2.0_Ni5_f200Hz;053_RF2.0_Ni5_f200Hz/deliverables/053_RF2.0_Ni5_f200Hz_SWV_curve.png;053_RF2.0_Ni5_f200Hz/deliverables/053_RF2.0_Ni5_f200Hz_components.png;053_RF2.0_Ni5_f200Hz/deliverables/053_RF2.0_Ni5_f200Hz_baseline_zoom.png;053_RF2.0_Ni5_f200Hz/swv_data.csv
54;2.0;5;0;0;500;0;37.04;7.60e-08;0.950;4884.1875;-0.2560;64.00;48.6826;5.56;879.1;0.9879;90.9;0.00;0.07;OK;054_RF2.0_Ni5_f500Hz;054_RF2.0_Ni5_f500Hz/deliverables/054_RF2.0_Ni5_f500Hz_SWV_curve.png;054_RF2.0_Ni5_f500Hz/deliverables/054_RF2.0_Ni5_f500Hz_components.png;054_RF2.0_Ni5_f500Hz/deliverables/054_RF2.0_Ni5_f500Hz_baseline_zoom.png;054_RF2.0_Ni5_f500Hz/swv_data.csv
55;3.0;0;0;0;10;0;27.44;8.00e-08;1.000;2288.2263;-0.2400;56.00;1.3272;1.98;1156.8;0.9996;36.7;0.00;2.74;OK;055_RF3.0_Ni0_f10Hz;055_RF3.0_Ni0_f10Hz/deliverables/055_RF3.0_Ni0_f10Hz_SWV_curve.png;055_RF3.0_Ni0_f10Hz/deliverables/055_RF3.0_Ni0_f10Hz_components.png;055_RF3.0_Ni0_f10Hz/deliverables/055_RF3.0_Ni0_f10Hz_baseline_zoom.png;055_RF3.0_Ni0_f10Hz/swv_data.csv
56;3.0;0;0;0;25;0;27.44;8.00e-08;1.000;3931.8018;-0.2400;56.00;3.3187;1.68;2333.5;0.9990;45.8;0.00;1.10;OK;056_RF3.0_Ni0_f25Hz;056_RF3.0_Ni0_f25Hz/deliverables/056_RF3.0_Ni0_f25Hz_SWV_curve.png;056_RF3.0_Ni0_f25Hz/deliverables/056_RF3.0_Ni0_f25Hz_components.png;056_RF3.0_Ni0_f25Hz/deliverables/056_RF3.0_Ni0_f25Hz_baseline_zoom.png;056_RF3.0_Ni0_f25Hz/swv_data.csv
57;3.0;0;0;0;50;0;27.44;8.00e-08;1.000;4543.9231;-0.2440;60.00;6.6373;1.92;2362.8;0.9983;59.4;0.00;0.55;OK;057_RF3.0_Ni0_f50Hz;057_RF3.0_Ni0_f50Hz/deliverables/057_RF3.0_Ni0_f50Hz_SWV_curve.png;057_RF3.0_Ni0_f50Hz/deliverables/057_RF3.0_Ni0_f50Hz_components.png;057_RF3.0_Ni0_f50Hz/deliverables/057_RF3.0_Ni0_f50Hz_baseline_zoom.png;057_RF3.0_Ni0_f50Hz/swv_data.csv
58;3.0;0;0;0;100;0;27.44;8.00e-08;1.000;4824.6123;-0.2440;60.00;13.2756;1.91;2531.1;0.9965;73.3;0.00;0.27;OK;058_RF3.0_Ni0_f100Hz;058_RF3.0_Ni0_f100Hz/deliverables/058_RF3.0_Ni0_f100Hz_SWV_curve.png;058_RF3.0_Ni0_f100Hz/deliverables/058_RF3.0_Ni0_f100Hz_components.png;058_RF3.0_Ni0_f100Hz/deliverables/058_RF3.0_Ni0_f100Hz_baseline_zoom.png;058_RF3.0_Ni0_f100Hz/swv_data.csv
59;3.0;0;0;0;200;0;27.44;8.00e-08;1.000;5117.6394;-0.2480;64.00;26.5500;2.18;2350.3;0.9932;83.8;0.00;0.14;OK;059_RF3.0_Ni0_f200Hz;059_RF3.0_Ni0_f200Hz/deliverables/059_RF3.0_Ni0_f200Hz_SWV_curve.png;059_RF3.0_Ni0_f200Hz/deliverables/059_RF3.0_Ni0_f200Hz_components.png;059_RF3.0_Ni0_f200Hz/deliverables/059_RF3.0_Ni0_f200Hz_baseline_zoom.png;059_RF3.0_Ni0_f200Hz/swv_data.csv
60;3.0;0;0;0;500;0;27.44;8.00e-08;1.000;6282.2035;-0.2600;64.00;66.3755;2.34;2683.3;0.9840;91.4;0.00;0.05;OK;060_RF3.0_Ni0_f500Hz;060_RF3.0_Ni0_f500Hz/deliverables/060_RF3.0_Ni0_f500Hz_SWV_curve.png;060_RF3.0_Ni0_f500Hz/deliverables/060_RF3.0_Ni0_f500Hz_components.png;060_RF3.0_Ni0_f500Hz/deliverables/060_RF3.0_Ni0_f500Hz_baseline_zoom.png;060_RF3.0_Ni0_f500Hz/swv_data.csv
61;3.0;2;0;0;10;0;27.44;7.84e-08;0.980;2240.9275;-0.2400;56.00;1.3853;4.31;520.5;0.9996;38.2;0.00;2.74;OK;061_RF3.0_Ni2_f10Hz;061_RF3.0_Ni2_f10Hz/deliverables/061_RF3.0_Ni2_f10Hz_SWV_curve.png;061_RF3.0_Ni2_f10Hz/deliverables/061_RF3.0_Ni2_f10Hz_components.png;061_RF3.0_Ni2_f10Hz/deliverables/061_RF3.0_Ni2_f10Hz_baseline_zoom.png;061_RF3.0_Ni2_f10Hz/swv_data.csv
62;3.0;2;0;0;25;0;27.44;7.84e-08;0.980;3846.7549;-0.2400;56.00;3.4564;3.80;1011.8;0.9990;47.3;0.00;1.10;OK;062_RF3.0_Ni2_f25Hz;062_RF3.0_Ni2_f25Hz/deliverables/062_RF3.0_Ni2_f25Hz_SWV_curve.png;062_RF3.0_Ni2_f25Hz/deliverables/062_RF3.0_Ni2_f25Hz_components.png;062_RF3.0_Ni2_f25Hz/deliverables/062_RF3.0_Ni2_f25Hz_baseline_zoom.png;062_RF3.0_Ni2_f25Hz/swv_data.csv
