E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.65937500e-06;-1.65937511e-06;3.32166549e-06
-4.00000000e-03;1.65937511e-06;-1.65937514e-06;3.31963793e-06
-8.00000000e-03;1.65937514e-06;-1.65937520e-06;3.32005972e-06
-1.20000000e-02;1.65937520e-06;-1.65937527e-06;3.32022371e-06
-1.60000000e-02;1.65937527e-06;-1.65937537e-06;3.31887616e-06
-2.00000000e-02;1.65937537e-06;-1.65937550e-06;3.31660365e-06
-2.40000000e-02;1.65937550e-06;-1.65937569e-06;3.31900239e-06
-2.80000000e-02;1.65937568e-06;-1.65937594e-06;3.32099088e-06
-3.20000000e-02;1.65937593e-06;-1.65937628e-06;3.31750972e-06
-3.60000000e-02;1.65937627e-06;-1.65937675e-06;3.31903315e-06
-4.00000000e-02;1.65937673e-06;-1.65937738e-06;3.31990649e-06
-4.40000000e-02;1.65937737e-06;-1.65937826e-06;3.31727237e-06
-4.80000000e-02;1.65937823e-06;-1.65937944e-06;3.32052643e-06
-5.20000000e-02;1.65937941e-06;-1.65938107e-06;3.31730928e-06
-5.60000000e-02;1.65938102e-06;-1.65938329e-06;3.31863226e-06
-6.00000000e-02;1.65938322e-06;-1.65938631e-06;3.31664732e-06
-6.40000000e-02;1.65938623e-06;-1.65939044e-06;3.31900993e-06
-6.80000000e-02;1.65939033e-06;-1.65939609e-06;3.31587421e-06
-7.20000000e-02;1.65939593e-06;-1.65940379e-06;3.31911682e-06
-7.60000000e-02;1.65940357e-06;-1.65941431e-06;3.31585716e-06
-8.00000000e-02;1.65941401e-06;-1.65942867e-06;3.31777871e-06
-8.40000000e-02;1.65942826e-06;-1.65944827e-06;3.32255500e-06
-8.80000000e-02;1.65944771e-06;-1.65947504e-06;3.31617465e-06
-9.20000000e-02;1.65947427e-06;-1.65951158e-06;3.31837502e-06
-9.60000000e-02;1.65951054e-06;-1.65956147e-06;3.31835454e-06
-1.00000000e-01;1.65956005e-06;-1.65962958e-06;3.32034980e-06
