E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;1.40948040e-06;-1.31021699e-06;2.71720323e-06
-4.00000000e-03;1.39988188e-06;-1.31224099e-06;2.71301472e-06
-8.00000000e-03;1.39140690e-06;-1.31402800e-06;2.70634883e-06
-1.20000000e-02;1.38392409e-06;-1.31560579e-06;2.70051123e-06
-1.60000000e-02;1.37731734e-06;-1.31699885e-06;2.69546377e-06
-2.00000000e-02;1.37148413e-06;-1.31822883e-06;2.68976858e-06
-2.40000000e-02;1.36633394e-06;-1.31931486e-06;2.68665099e-06
-2.80000000e-02;1.36178683e-06;-1.32027382e-06;2.68445228e-06
-3.20000000e-02;1.35777224e-06;-1.32112063e-06;2.68305518e-06
-3.60000000e-02;1.35422787e-06;-1.32186848e-06;2.67575575e-06
-4.00000000e-02;1.35109873e-06;-1.32252903e-06;2.67179551e-06
-4.40000000e-02;1.34833627e-06;-1.32311260e-06;2.66827882e-06
-4.80000000e-02;1.34589766e-06;-1.32362835e-06;2.67013040e-06
-5.20000000e-02;1.34374512e-06;-1.32408441e-06;2.66746259e-06
-5.60000000e-02;1.34184535e-06;-1.32448803e-06;2.66993108e-06
-6.00000000e-02;1.34016901e-06;-1.32484571e-06;2.66210575e-06
-6.40000000e-02;1.33869029e-06;-1.32516331e-06;2.66269528e-06
-6.80000000e-02;1.33738652e-06;-1.32544618e-06;2.66082257e-06
-7.20000000e-02;1.33623788e-06;-1.32569929e-06;2.66236824e-06
-7.60000000e-02;1.33522709e-06;-1.32592735e-06;2.66072420e-06
-8.00000000e-02;1.33433923e-06;-1.32613499e-06;2.65858120e-06
-8.40000000e-02;1.33356158e-06;-1.32632688e-06;2.65856534e-06
-8.80000000e-02;1.33288349e-06;-1.32650799e-06;2.66162564e-06
-9.20000000e-02;1.33229643e-06;-1.32668387e-06;2.66180838e-06
-9.60000000e-02;1.33179398e-06;-1.32686096e-06;2.66001489e-06
-1.00000000e-01;1.33137200e-06;-1.32704709e-06;2.65991988e-06
-1.04000000e-01;1.33102899e-06;-1.32725206e-06;2.65969076e-06
-1.08000000e-01;1.33076648e-06;-1.32748851e-06;2.65697131e-06
-1.12000000e-01;1.33058978e-06;-1.32777300e-06;2.65833510e-06
-1.16000000e-01;1.33050892e-06;-1.32812754e-06;2.65644834e-06
-1.20000000e-01;1.33054011e-06;-1.32858163e-06;2.66064853e-06
-1.24000000e-01;1.33070764e-06;-1.32917502e-06;2.65864089e-06
-1.28000000e-01;1.33104657e-06;-1.32996150e-06;2.65981524e-06
-1.32000000e-01;1.33160638e-06;-1.33101398e-06;2.66344230e-06
-1.36000000e-01;1.33245600e-06;-1.33243136e-06;2.66573142e-06
-1.40000000e-01;1.33369055e-06;-1.33434780e-06;2.66731104e-06
-1.44000000e-01;1.33544046e-06;-1.33694496e-06;2.66998617e-06
-1.48000000e-01;1.33788363e-06;-1.34046796e-06;2.67669802e-06
-1.52000000e-01;1.34126118e-06;-1.34524537e-06;2.68506142e-06
-1.56000000e-01;1.34589720e-06;-1.35171250e-06;2.69799428e-06
-1.60000000e-01;1.35222177e-06;-1.36043595e-06;2.71405022e-06
-1.64000000e-01;1.36079518e-06;-1.37213532e-06;2.73228062e-06
-1.68000000e-01;1.37232910e-06;-1.38769631e-06;2.76112201e-06
-1.72000000e-01;1.38769895e-06;-1.40816919e-06;2.79122130e-06
-1.76000000e-01;1.40794162e-06;-1.43474813e-06;2.84260746e-06
-1.80000000e-01;1.43423346e-06;-1.46872810e-06;2.90245270e-06
-1.84000000e-01;1.46784553e-06;-1.51144642e-06;2.97526450e-06
-1.88000000e-01;1.51008261e-06;-1.56419694e-06;3.07644136e-06
