E_step_V;I_forward_A;I_reverse_A;I_net_A
0.00000000e+00;5.83484108e-07;-5.73514490e-07;1.15711375e-06
-4.00000000e-03;5.82519859e-07;-5.73717765e-07;1.15535042e-06
-8.00000000e-03;5.81668504e-07;-5.73897245e-07;1.15654692e-06
-1.20000000e-02;5.80916862e-07;-5.74055719e-07;1.15395118e-06
-1.60000000e-02;5.80253260e-07;-5.74195653e-07;1.15319968e-06
-2.00000000e-02;5.79667391e-07;-5.74319224e-07;1.15455142e-06
-2.40000000e-02;5.79150160e-07;-5.74428359e-07;1.15502948e-06
-2.80000000e-02;5.78693537e-07;-5.74524761e-07;1.15462170e-06
-3.20000000e-02;5.78290437e-07;-5.74609938e-07;1.15439154e-06
-3.60000000e-02;5.77934609e-07;-5.74685229e-07;1.15306309e-06
-4.00000000e-02;5.77620541e-07;-5.74751824e-07;1.15198851e-06
-4.40000000e-02;5.77343375e-07;-5.74810786e-07;1.15278989e-06
-4.80000000e-02;5.77098832e-07;-5.74863069e-07;1.15259930e-06
-5.20000000e-02;5.76883153e-07;-5.74909538e-07;1.15186541e-06
-5.60000000e-02;5.76693039e-07;-5.74950987e-07;1.15087554e-06
-6.00000000e-02;5.76525608e-07;-5.74988158e-07;1.15131843e-06
-6.40000000e-02;5.76378357e-07;-5.75021763e-07;1.15169218e-06
-6.80000000e-02;5.76249131e-07;-5.75052507e-07;1.15003067e-06
-7.20000000e-02;5.76136106e-07;-5.75081116e-07;1.15081712e-06
-7.60000000e-02;5.76037772e-07;-5.75108377e-07;1.14980748e-06
-8.00000000e-02;5.75952941e-07;-5.75135179e-07;1.15304135e-06
-8.40000000e-02;5.75880757e-07;-5.75162575e-07;1.15182513e-06
-8.80000000e-02;5.75820731e-07;-5.75191857e-07;1.15085787e-06
-9.20000000e-02;5.75772791e-07;-5.75224666e-07;1.15204553e-06
-9.60000000e-02;5.75737368e-07;-5.75263130e-07;1.15119365e-06
-1.00000000e-01;5.75715519e-07;-5.75310055e-07;1.15042319e-06
-1.04000000e-01;5.75709096e-07;-5.75369185e-07;1.15110994e-06
-1.08000000e-01;5.75720990e-07;-5.75445551e-07;1.15102205e-06
-1.12000000e-01;5.75755468e-07;-5.75545955e-07;1.15530727e-06
-1.16000000e-01;5.75818639e-07;-5.75679615e-07;1.15041384e-06
-1.20000000e-01;5.75919084e-07;-5.75859056e-07;1.14871484e-06
-1.24000000e-01;5.76068731e-07;-5.76101310e-07;1.15301323e-06
-1.28000000e-01;5.76284042e-07;-5.76429552e-07;1.15125465e-06
-1.32000000e-01;5.76587623e-07;-5.76875319e-07;1.15192409e-06
-1.36000000e-01;5.77010426e-07;-5.77481504e-07;1.15598405e-06
-1.40000000e-01;5.77594711e-07;-5.78306401e-07;1.15491913e-06
-1.44000000e-01;5.78398053e-07;-5.79429120e-07;1.15637181e-06
-1.48000000e-01;5.79498711e-07;-5.80956783e-07;1.16047568e-06
-1.52000000e-01;5.81002760e-07;-5.83033937e-07;1.16264476e-06
-1.56000000e-01;5.83053419e-07;-5.85854512e-07;1.16972385e-06
